Assessing only games categories with a min rating of: 0.1 and a max rating of: 7.0, and a minimum popularity of: 1000 votes
Printing all categories that more than 10 games have
141, Card Game
85, Hand Management
85, Dice Rolling
52, Bluffing
51, Set Collection
46, Fantasy
45, Fighting
43, Area Control / Area Influence
42, Tile Placement
40, Animals
38, Humor
37, Variable Player Powers
35, Exploration
34, Modular Board
32, Economic
32, Ancient
30, Abstract Strategy
30, Party Game
29, Dice
29, Medieval
28, Children's Game
24, Adventure
24, Deduction
23, Card Drafting
23, Territory Building
23, Auction/Bidding
22, Racing
22, Area Movement
20, Action Point Allowance System
20, Roll / Spin and Move
20, Partnerships
19, Wargame
19, Science Fiction
19, Negotiation
19, Action / Dexterity
19, Trading
18, City Building
18, Nautical
16, Grid Movement
16, Real-time
15, Horror
15, Point to Point Movement
15, Puzzle
14, Simultaneous Action Selection
14, Player Elimination
13, Memory
13, Political
13, Civilization
13, Press Your Luck
11, Transportation
11, Worker Placement
11, Miniatures
11, Pattern Building
11, Betting/Wagering
