Assessing games mechanics with a min rating of: 0.1 and a max rating of: 10.0, and a minimum popularity of: 1000 votes
Printing all mechanics that more than 50 games have
335, Hand Management
248, Dice Rolling
175, Set Collection
166, Card Drafting
155, Area Control / Area Influence
115, Modular Board
112, Auction/Bidding
111, Tile Placement
99, Variable Player Powers
82, Action Point Allowance System
78, Simultaneous Action Selection
78, Grid Movement
74, Area Movement
66, Route/Network Building
62, Partnerships
60, Point to Point Movement
59, Worker Placement
