Assessing games mechanics with a min rating of: 0.1 and a max rating of: 7.0, and a minimum popularity of: 1000 votes
Printing all mechanics that more than 10 games have
156, Hand Management
94, Dice Rolling
82, Set Collection
59, Tile Placement
56, Area Control / Area Influence
52, Card Drafting
45, Auction/Bidding
44, Modular Board
38, Simultaneous Action Selection
32, Variable Player Powers
32, Route/Network Building
26, Memory
26, Action Point Allowance System
26, Point to Point Movement
26, Partnerships
26, Area Movement
24, Player Elimination
22, Admin: Better Description Needed!
22, Roll / Spin and Move
21, Pick-up and Deliver
20, Grid Movement
17, Pattern Building
17, Trading
16, Press Your Luck
16, Area Enclosure
15, Take That
13, Betting/Wagering
11, Pattern Recognition
11, Role Playing
11, Voting
