Assessing games categories with a min rating of: 0.1 and a max rating of: 10.0
Printing popularity of game categories: (only categories with 1000+) are counted
Card Game, 1422242
Economic, 796107
Fantasy, 775258
Dice Rolling, 745641
Hand Management, 729640
Fighting, 636811
Medieval, 517166
City Building, 486094
Bluffing, 460732
Civilization, 413055
Adventure, 385167
Variable Player Powers, 346422
Science Fiction, 345987
Exploration, 343083
Dice, 340994
Set Collection, 339326
Territory Building, 330059
Ancient, 326812
Area Control / Area Influence, 325451
Modular Board, 307134
Wargame, 299123
Deduction, 297146
Animals, 288175
Tile Placement, 285444
Negotiation, 282786
Card Drafting, 270819
Humor, 255901
Farming, 222719
Horror, 218410
Nautical, 212642
Auction/Bidding, 208767
Renaissance, 202281
Abstract Strategy, 196508
Party Game, 195438
Area Movement, 191493
Expansion for Base-game, 172975
Political, 167151
Trains, 162848
Hex-and-Counter, 155902
Miniatures, 153476
Co-operative Play, 153379
Grid Movement, 146065
Simultaneous Action Selection, 142562
Memory, 139789
Racing, 138669
Action Point Allowance System, 135680
Roll / Spin and Move, 135290
Partnerships, 134646
Industry / Manufacturing, 133969
Travel, 131922
Movies / TV / Radio theme, 127212
Novel-based, 124910
Transportation, 123246
Route/Network Building, 113313
Deck / Pool Building, 108663
World War II, 107822
Children's Game, 103376
Player Elimination, 101979
Space Exploration, 100732
Point to Point Movement, 99780
Real-time, 99530
Trading, 95231
Action / Dexterity, 91411
Mythology, 90426
Worker Placement, 80586
Campaign / Battle Card Driven, 74625
Role Playing, 73383
Pirates, 72775
Secret Unit Deployment, 72438
Pick-up and Deliver, 68790
Murder/Mystery, 68400
American West, 68199
Simulation, 66094
Puzzle, 64546
Sports, 61084
Arabian, 60369
Medical, 59208
Prehistoric, 58052
Press Your Luck, 57586
Environmental, 56811
Action / Movement Programming, 55943
Aviation / Flight, 55603
Collectible Components, 55487
Pattern Building, 52960
Take That, 51404
Betting/Wagering, 50543
Area Enclosure, 46278
Religious, 44037
Modern Warfare, 39570
Commodity Speculation, 39300
Zombies, 38460
Voting, 35296
Educational, 34747
Napoleonic, 33895
Age of Reason, 33546
Pattern Recognition, 32654
Word Game, 30844
Paper-and-Pencil, 30270
Video Game Theme, 27693
Trivia, 27283
Comic Book / Strip, 27050
Variable Phase Order, 26007
Stock Holding, 25268
Trick-taking, 25139
Post-Napoleonic, 23989
Admin: Better Description Needed!, 23136
Rock-Paper-Scissors, 21895
Electronic, 21355
Storytelling, 20086
Chit-Pull System, 19414
Print & Play, 16951
3D Games, 16914
Monopoly, 14357
Acting, 13984
Solitaire Games, 13952
Line Drawing, 13656
American Civil War, 13408
Mafia, 13002
Star Wars, 12833
Maze, 12370
Civil War, 12249
Number, 11889
American Indian Wars, 11845
Finger Flicking Games, 11196
World War I, 11106
Celebrities: Walt Disney, 10609
CCGs (Collectible Card Games), 9912
Spies/Secret Agents, 9078
Heroscape Master Set: Rise of the Valkyrie, 9024
Cards Against Humanity: 12 Days of Holiday Bullshit, 9006
Bards Against Humanity (fan expansion for Cards Against Humanity), 9006
Cards Against Humanity: 90s Nostalgia Pack, 9006
Cards & Punishment: Vol. 1 (unofficial expansion for Cards Against Humanity), 9006
Heroscape Master Set: Swarm of the Marro, 8854
Crowdfunding: Kickstarter, 8688
Area-Impulse, 8132
Time Track, 7553
Asian Theme, 6981
Traditional Card Games, 6862
Letter cube games, 6437
Crokinole, 6298
Cards Against Humanity, 6113
Jenga Pink Girl Talk Edition, 5986
Super Jogo da Vida, 5883
Jinsei Game, 5883
The Game of Life: 50th Special Anniversary Edition, 5883
The Game of Life (2013- Editions), 5883
Boggle, 5866
Tube Games, 5723
American Revolutionary War, 5713
Card Games: Exchange Games, 5552
Food / Cooking, 5539
Card Games: Draw and Discard Games, 5504
Trivial Pursuit, 5431
Timeline: 60 ans de tlvision  la RTBF, 5242
Mastermind Ultimate Cribbage, 5197
Wild: Cribbage Expansion, 5197
Book, 5129
Arkham Horror: Miskatonic Horror Expansion, 5077
Timeline: Americana, 5015
Timeline: American History, 5003
Crayon Rail System, 4988
Chess Games, 4725
Sports: Auto Racing, 4666
Mastermind, 4597
DVD Board Games, 4483
Marble Games, 4466
Mahjong, 4443
Rummy Games, 4433
Country: USA, 4270
18xx, 4246
PitchCar, 4143
Vietnam War, 4122
UNO, 3928
Risk, 3922
Age of Steam, 3854
Cyberpunk, 3753
Timeline: Discoveries, 3744
Combinatorial, 3733
Cluedo, 3663
Sorry!, 3491
Magazine: Strategy & Tactics, 3447
n in a row, 3440
Android, 3407
Spite 'N' Malice, 3398
Fluxx Dice, 3370
Game System, 3285
Animals: Dogs, 3285
Sports: American Football / Gridiron, 3176
Fluxx Promo Cards, 3153
Cult of the Golden Scarab (fan expansion for Arkham Horror), 3066
Arkham Horror: The Dark Pharaoh (Herald), 3066
Singing, 3036
Pike and Shot, 3017
Risk: Lord of the Rings Expansion Set (incl. Siege of Minas Tirith game), 2963
Battlestar Galactica, 2825
Zombicide, 2759
Risk: The Lord of the Rings, 2746
Sports: Baseball, 2725
Dragon Checkers, 2717
Runebound (Second Edition), 2600
Anime & Manga, 2595
Vampires, 2582
Pathfinder Adventure Card Game: Rise of the Runelords  Base Set, 2580
Star Wars: X-Wing Miniatures Game, 2529
Apples to Apples, 2504
Smash Up, 2497
Sports: Football / Soccer, 2495
Smash Up: Monster Smash, 2495
Smash Up: Awesome Level 9000, 2495
A Game of Thrones: The Card Game, 2485
Star Trek, 2485
Components: Miniatures, 2457
TV Series: Dora the Explorer, 2431
Smash Up: Munchkin, 2413
Tolkien Games, 2395
Shedding Games, 2372
Puerto Rico, 2363
Draw-Bridge, 2361
Monsters, 2356
Tiledeck, 2354
Mature / Adult, 2325
Cranium, 2281
Card Games: Outplay Games, 2251
Win, 2235
Finger Twister, 2229
USA), 2222
Superheroes, 2150
Black Stories 1+2, 2132
Operation, 2125
Game of Life, 2119
We Didn't Playtest This At All: Chaos Pack, 2108
Play Dough/Clay Games, 2102
3M Bookshelf Series, 2092
We Didn't Playtest This at All: Dice are Fun, 2075
We Didn't Playtest This at All: Blue Deck, 2075
Advanced Squad Leader, 2070
Sci-Fi Sports, 2070
Operation Rescue Kit, 2069
Aliens, 2036
Animals: Frogs, 2018
Duel of Ages Set 1: Worldspanner, 2017
5th Column (fan expansion for Fortress America), 1993
Fortress Illinois, 1993
Fortress America: Expansion Pack #1, 1993
Star Wars: X-Wing Miniatures Game  The Force Awakens Core Set, 1990
Scrabble, 1987
Stratego Series, 1983
Balderdash, 1980
Timeline: Diversity, 1964
Ratuki, 1958
Ligretto Junior, 1958
Scene It?, 1945
Animals: Dragons, 1936
Country: China, 1924
Sports: Horse Racing, 1892
Descent: Journeys in the Dark (Second Edition), 1886
Ancient Rome, 1874
Toc Toc Woodman: Golden Core and Bark Promo, 1863
Toc Toc Woodman: Golden Axe Expansion, 1863
Harry Potter, 1817
Looney Pyramids, 1810
Animals: Apes / Monkeys, 1809
Climbing Games, 1798
Gigamic Classic, 1791
Animals: Alligators / Crocodiles, 1756
Dominoes, 1733
Elefun & Friends Mouse Trap, 1710
Pathfinder Adventure Card Game: Character Mats, 1695
TV Series: Buffy the Vampire Slayer, 1677
Elder Sign, 1661
Math, 1661
Talisman, 1646
Mensa Select, 1626
CMGs (Collectible Miniatures Games), 1615
LEGO Games, 1609
No Lo Testeamos Ni Un Poquito, 1600
Animals: Dinosaurs, 1598
The Lord of the Rings: The Card Game, 1584
Love Letter, 1557
Marvel Universe, 1554
Legendary: A Marvel Deck Building Game, 1535
Living Card Game, 1514
Animals: Hamsters, 1463
Zooloretto, 1462
Korean War, 1455
Android: Netrunner, 1450
Leonardo da Vinci, 1445
The Realms of Terrinoth, 1433
Zombicide Season 2: Prison Outbreak, 1389
Firefly: The Game, 1379
Hasbro Express Line, 1352
Characters: James Bond, 1345
Country: England, 1345
BattleLore, 1343
Pick Stick Oh!, 1343
Phase 10, 1343
Mikado Magnetico, 1343
TV Series: The Simpsons, 1335
Play Winning Card Games For Three, 1328
Pachisi-Ludo, 1324
Admin: Unreleased Games, 1322
Promotional Board Games, 1319
MindTrap, 1313
Rymdimperiet, 1294
Battleship, 1272
Telestrations, 1238
Mattel To Go! games, 1228
Country: France, 1224
Outburst II, 1222
Outburst Remix!, 1222
Electronic OUTBURST, 1222
Country: Egypt, 1220
Cosmic Encounter, 1218
Zombicide Gaming Night #2: Black Friday, 1197
DC Comics Deck-Building Game: Crossover Pack 1  Justice Society of America, 1192
DC Comics Deck-Building Game: Crossover Pack 2  Arrow, 1192
Zombicide Survivor: Thiago, 1189
Gigamic Basic, 1187
Music, 1182
Star Wars: Imperial Assault, 1180
Zombicide Gaming Night #3: Zombie Trap, 1180
Warhammer: Invasion, 1174
Animals: Deer, 1173
Zombicide Survivor: Bill, 1172
Country: Greece, 1146
DungeonQuest, 1143
Country: Canada, 1141
StarCraft: The Board Game, 1132
Supremacy: Boomers  Ballistic Missile Subs, 1129
Gobblet Gobblers, 1129
Supremacy:  Boomers  Warlords and Pirates Blister Pack, 1129
Supremacy:  Tanks  Warlords and Pirates Blister Pack, 1129
