Assessing games mechanics/categories with a min rating of: 0.1 and a max rating of: 10.0and a minimum popularity of: 1000
Printing popularity of game mechanics/categories: 
Hand Management, 2633972
Dice Rolling, 2130654
Card Game, 1422242
Set Collection, 1316715
Card Drafting, 1254179
Area Control / Area Influence, 1076410
Variable Player Powers, 929055
Modular Board, 881111
Tile Placement, 815906
Economic, 796107
Fantasy, 775258
Auction/Bidding, 717052
Fighting, 636811
Area Movement, 596710
Simultaneous Action Selection, 577630
Grid Movement, 564843
Co-operative Play, 549651
Action Point Allowance System, 547192
Medieval, 517166
Route/Network Building, 514227
Partnerships, 501587
City Building, 486094
Bluffing, 460732
Worker Placement, 419211
Civilization, 413925
Adventure, 385167
Player Elimination, 379743
Point to Point Movement, 379666
Deck / Pool Building, 369421
Science Fiction, 345987
Exploration, 343083
Dice, 340994
Territory Building, 330059
Ancient, 326812
Memory, 301245
Wargame, 299123
Deduction, 297146
Animals, 288175
Negotiation, 282786
Hex-and-Counter, 269213
Humor, 255901
Campaign / Battle Card Driven, 223840
Farming, 222719
Horror, 218410
Nautical, 212642
Roll / Spin and Move, 206422
Area Enclosure, 202851
Trading, 202547
Renaissance, 202281
Variable Phase Order, 201264
Abstract Strategy, 196508
Party Game, 195438
Take That, 190535
Pick-up and Deliver, 188454
Press Your Luck, 186904
Secret Unit Deployment, 179761
Expansion for Base-game, 172975
Action / Movement Programming, 168180
Political, 167151
Trains, 163061
Pattern Building, 155779
Role Playing, 155151
Miniatures, 153476
Voting, 147077
Racing, 138669
Betting/Wagering, 134829
Industry / Manufacturing, 133969
Travel, 131922
Movies / TV / Radio theme, 127212
Novel-based, 124910
Commodity Speculation, 124484
Transportation, 123246
Simulation, 120344
Admin: Better Description Needed!, 115427
World War II, 107822
Children's Game, 103376
Space Exploration, 100732
Real-time, 99530
Action / Dexterity, 91411
Mythology, 90426
Paper-and-Pencil, 83238
Stock Holding, 82822
Pattern Recognition, 74911
Pirates, 72775
Storytelling, 68869
Murder/Mystery, 68400
American West, 68199
Carcassonne, 66900
Crowdfunding: Kickstarter, 65648
Puzzle, 64546
Trick-taking, 63542
Sports, 61084
Arabian, 60369
Medical, 59208
Carcassonne: 10 Year Special Edition, 58614
Prehistoric, 58052
Environmental, 56811
Aviation / Flight, 55603
Collectible Components, 55487
Solitaire Games, 47991
Religious, 44037
Carcassonne: Wheel of Fortune, 43573
Chit-Pull System, 41336
Modern Warfare, 39570
Zombies, 38460
Acting, 38274
Carcassonne Big Box 4, 36864
Educational, 34747
Napoleonic, 33895
Age of Reason, 33546
3D Games, 33323
Rock-Paper-Scissors, 31926
Time Track, 31300
Word Game, 30844
Area-Impulse, 29707
Yahtzee, 29203
Clue, 28185
Video Game Theme, 27693
Line Drawing, 27356
Trivia, 27283
Comic Book / Strip, 27050
Sorry, 26864
Family Game Night Book and Game Set: Scrabble, 26864
Post-Napoleonic, 23989
Catan Scenarios: Helpers of Catan, 23732
Scrabble and Yahtzee, 23287
Star Wars, 22412
CCGs (Collectible Card Games), 21907
Electronic, 21355
Der Hafenmeister, 21242
Carcassonne Big Box, 19845
Small World, 19599
Ancient Rome, 19531
Small World Underground, 19389
Monopoly, 18520
Arkham Horror: Miskatonic Horror Expansion, 17888
Star Wars: X-Wing Miniatures Game, 17702
Chess Mixer, 17045
Beguile: PaWN The Enemy, 17045
Economy Chess, 17045
Epic Chess, 17045
Finger Flicking Games, 16986
Print & Play, 16951
Game Spice: Monopoly Expansion, 16147
Entrepreneur's Accessory to Monopoly, 16147
Beyond Boardwalk and Park Place, 16147
Bance!, 16147
Celebrities: Walt Disney, 15960
Catan, 15896
Star Wars: X-Wing Miniatures Game  The Force Awakens Core Set, 15067
Asian Theme, 15044
Gryphon Games bookshelf series, 15022
Tube Games, 14606
Food / Cooking, 14532
Tolkien Games, 14489
Ticket to Ride, 14456
Munchkin Promotional Bookmarks, 14401
Traditional Card Games, 14163
Power Grid, 14140
Funkenschlag: EnBW, 14015
Mgawatts, 14001
Magazine: Strategy & Tactics, 13960
Promotional Board Games, 13880
Rummy Games, 13508
Munchkin Sparkly Good Fairy Shot Glass, 13434
American Civil War, 13408
Country: USA, 13376
Animals: Dragons, 13018
Mafia, 13002
Sports: Auto Racing, 12909
Civil War, 12830
Combinatorial, 12773
Fantasy Flight Silver Line Games, 12672
Maze, 12370
Die Steinmauer (Fan Expansion for Carcassonne: Die Jger und Sammler), 12328
Cards Against Humanity, 12239
Number, 11889
American Indian Wars, 11845
Munchkin Tavern Pint Glass, 11571
Memoir '44, 11478
Heroscape Master Set: Rise of the Valkyrie, 11387
Heroscape Master Set: Swarm of the Marro, 11217
Dominion, 11198
Risk, 11177
World War I, 11106
Glaube & Reformation (Fan expansion to Catan: Cities and Knights), 11011
Kirche, 11011
Catan: Cities & Knights  5-6 Player Extension, 11011
Zauberer & Drachen (Fan expansion to Catan: Cities and Knights), 11011
Hexen, 11011
Card Games: Outplay Games, 10994
Kosmos two-player series, 10969
Country: Greece, 10734
Dominion: Intrigue, 10617
UNO: England Rugby, 10527
UNO: Disney Princess, 10527
UNO: Angry Birds, 10527
UNO Dare!, 10527
Trivial Pursuit, 10485
Crayon Rail System, 10406
Country: Italy, 10331
Schotten-Totten, 10272
Catan: Seafarers  5-6 Player Extension, 10231
De Kolonisten van Catan: De Diamanten, 10231
Smash Up, 10226
Ticket to Ride: Alvin & Dexter, 9972
Tsunami sur le Goban, 9751
Catan Scenarios: Oil Springs, 9682
Catan Scenarios: Frenemies, 9682
Runebound (Second Edition), 9487
Star Realms: BGG Store Promo Set One, 9361
Star Realms: Cosmic Gambits, 9361
Star Realms: Crisis  Bases & Battleships, 9361
Star Realms: Crisis  Events, 9361
