Assessing games mechanics/categories with a min rating of: 7.0 and a max rating of: 10.0and a minimum popularity of: 1000
Printing popularity of game mechanics/categories: 
Hand Management, 1677994
Dice Rolling, 1343011
Card Drafting, 941825
Card Game, 840509
Set Collection, 784472
Area Control / Area Influence, 752845
Economic, 711306
Variable Player Powers, 642217
Modular Board, 602387
Fantasy, 552059
Auction/Bidding, 471774
Co-operative Play, 457024
Tile Placement, 454789
Fighting, 442127
Medieval, 423229
Grid Movement, 420852
City Building, 417975
Area Movement, 415096
Action Point Allowance System, 407806
Route/Network Building, 380746
Civilization, 376554
Worker Placement, 365539
Simultaneous Action Selection, 347488
Deck / Pool Building, 322764
Adventure, 285202
Science Fiction, 284217
Partnerships, 281655
Bluffing, 262442
Territory Building, 242291
Point to Point Movement, 239015
Ancient, 236765
Exploration, 219100
Negotiation, 218323
Farming, 214258
Player Elimination, 213902
Dice, 212929
Wargame, 208296
Deduction, 200661
Campaign / Battle Card Driven, 183157
Renaissance, 182992
Variable Phase Order, 175262
Expansion for Base-game, 166014
Hex-and-Counter, 158686
Memory, 151524
Nautical, 148708
Horror, 141655
Animals, 135372
Political, 133200
Trains, 132401
Industry / Manufacturing, 118033
Area Enclosure, 117633
Miniatures, 117263
Action / Movement Programming, 116966
Secret Unit Deployment, 100182
Travel, 98468
Movies / TV / Radio theme, 96115
Pick-up and Deliver, 95754
Novel-based, 94082
Voting, 92289
Transportation, 92086
Humor, 88246
Space Exploration, 88010
Abstract Strategy, 80542
World War II, 78261
Commodity Speculation, 75551
Press Your Luck, 74437
Role Playing, 72687
Simulation, 72261
Trading, 71631
Racing, 67223
Take That, 64147
Mythology, 59911
Medical, 58712
Pattern Building, 58490
Party Game, 57305
Stock Holding, 53561
Environmental, 50683
Arabian, 49777
Betting/Wagering, 43714
Real-time, 40481
Prehistoric, 40176
Collectible Components, 38437
Sports, 37243
Pirates, 36790
Storytelling, 36768
Roll / Spin and Move, 35505
Carcassonne, 33736
Carcassonne: 10 Year Special Edition, 33019
Religious, 32965
American West, 32859
Age of Reason, 31922
Modern Warfare, 30808
Crowdfunding: Kickstarter, 28734
Murder/Mystery, 28721
Zombies, 28433
Carcassonne: Wheel of Fortune, 26427
Area-Impulse, 25899
Chit-Pull System, 25309
Aviation / Flight, 24586
Solitaire Games, 24268
Time Track, 23541
Admin: Better Description Needed!, 21503
Der Hafenmeister, 21242
Post-Napoleonic, 21230
Catan Scenarios: Helpers of Catan, 20943
Video Game Theme, 20905
Trick-taking, 20413
Comic Book / Strip, 20350
Action / Dexterity, 20297
Electronic, 18875
Arkham Horror: Miskatonic Horror Expansion, 17888
Star Wars: X-Wing Miniatures Game, 17702
Carcassonne Big Box 4, 17310
Napoleonic, 17186
Small World, 17061
Epic Chess, 17045
Economy Chess, 17045
Chess Mixer, 17045
Beguile: PaWN The Enemy, 17045
Paper-and-Pencil, 16956
Small World Underground, 16858
Star Wars: X-Wing Miniatures Game  The Force Awakens Core Set, 15067
Acting, 14570
Power Grid, 13859
Funkenschlag: EnBW, 13734
Mgawatts, 13720
Educational, 13682
Civil War, 12624
Puzzle, 12440
Gryphon Games bookshelf series, 12096
Finger Flicking Games, 12043
American Indian Wars, 11845
Ticket to Ride, 11783
Cards Against Humanity, 11729
Trivia, 11635
American Civil War, 11539
Memoir '44, 11478
Dominion, 11055
Glaube & Reformation (Fan expansion to Catan: Cities and Knights), 11011
Catan: Cities & Knights  5-6 Player Extension, 11011
Hexen, 11011
Kirche, 11011
Zauberer & Drachen (Fan expansion to Catan: Cities and Knights), 11011
Dominion: Intrigue, 10617
Line Drawing, 10544
De Kolonisten van Catan: De Diamanten, 10231
Catan: Seafarers  5-6 Player Extension, 10231
Schotten-Totten, 10212
Ticket to Ride: Alvin & Dexter, 9972
Heroscape Master Set: Rise of the Valkyrie, 9863
Tsunami sur le Goban, 9751
Heroscape Master Set: Swarm of the Marro, 9693
Catan Scenarios: Oil Springs, 9682
Catan Scenarios: Frenemies, 9682
Star Realms: Crisis  Bases & Battleships, 9361
Star Realms: Cosmic Gambits, 9361
Star Realms: BGG Store Promo Set One, 9361
Star Realms: Crisis  Events, 9361
Neuroshima Hex! Babel13 Artillery Outpost "THUNDER", 9116
Heroscape, 9024
Die Steinmauer (Fan Expansion for Carcassonne: Die Jger und Sammler), 8803
Carcassonne: Kreivi ja Kuningas, 8803
Carcassonne: King & Scout, 8803
Formula D, 8715
Diplomacy: Ard-Ri Variant, 8697
Diplomacy: Hundred Variant, 8697
Diplomacy Games and Variants, 8697
Diplomacy: 1900 Variant, 8697
Carcassonne Big Box, 8463
Neuroshima Hex! Assassin, 8380
Neuroshima Hex! Alabama Mercenaries, 8380
Neuroshima Hex! Babel13, 8372
PitchCar, 8207
Android: Netrunner, 8206
BattleLore, 7806
Age of Steam, 7793
Rock-Paper-Scissors, 7330
Dominion: Special Edition, 7324
Living Card Game, 7228
Cosmic Encounter, 7109
Advanced Squad Leader, 6926
Puerto Rico, 6843
Runebound (Second Edition), 6827
Smash Up, 6690
Asian Theme, 6679
Catan, 6649
C3K: Creatures Crossover Cyclades/Kemet, 6640
Legendary: A Marvel Deck Building Game, 6577
Sports: Auto Racing, 6537
Crokinole, 6298
Ticket to Ride Map Collection: Volume 2  India & Switzerland, 6238
Komorw (fan expansion to Ticket to Ride), 6238
Ticket to Ride: Switzerland, 6238
Arkham Horror, 6222
Print & Play, 5996
Descent: Journeys in the Dark, 5897
Star Wars, 5735
Brettspiel Adventskalender 2015, 5656
Robots, 5645
Pattern Recognition, 5628
Zombicide, 5606
Small World: 6 Player Board, 5581
Talisman (Revised 4th Edition), 5568
American Revolutionary War, 5560
Small World Realms, 5470
Leaders of Small World, 5470
Small World: A Spider's Web, 5470
Kemet: Ta-Seti, 5461
18xx, 5213
Smash Up: Munchkin, 5163
Country: USA, 5157
The Realms of Terrinoth, 5063
Sentinels of the Multiverse, 5056
Citadels, 5022
Pathfinder Adventure Card Game: Rise of the Runelords  Base Set, 5016
Sentinels of the Multiverse: Chokepoint Villain Mini-Expansion, 5007
Battlestar Galactica, 4972
