Assessing games mechanics with a min rating of: 0.1 and a max rating of: 10.0
Printing popularity of game mechanics: (only mechanics with 1000+) are counted
Hand Management, 1904332
Dice Rolling, 1385013
Card Drafting, 983360
Set Collection, 977389
Area Control / Area Influence, 750959
Variable Player Powers, 582633
Modular Board, 573977
Tile Placement, 530462
Auction/Bidding, 508285
Simultaneous Action Selection, 435068
Grid Movement, 418778
Action Point Allowance System, 411512
Area Movement, 405217
Route/Network Building, 400914
Co-operative Play, 396272
Partnerships, 366941
Worker Placement, 338625
Point to Point Movement, 279886
Player Elimination, 277764
Deck / Pool Building, 260758
Variable Phase Order, 175257
Memory, 161456
Area Enclosure, 156573
Campaign / Battle Card Driven, 149215
Take That, 139131
Press Your Luck, 129318
Pick-up and Deliver, 119664
Hex-and-Counter, 113311
Action / Movement Programming, 112237
Voting, 111781
Secret Unit Deployment, 107323
Trading, 107316
Pattern Building, 102819
Admin: Better Description Needed!, 92291
Commodity Speculation, 85184
Betting/Wagering, 84286
Role Playing, 81768
Roll / Spin and Move, 71132
Carcassonne, 66769
Carcassonne: 10 Year Special Edition, 58595
Stock Holding, 57554
Crowdfunding: Kickstarter, 56960
Simulation, 54250
Paper-and-Pencil, 52968
Storytelling, 48783
Carcassonne: Wheel of Fortune, 43552
Pattern Recognition, 42257
Trick-taking, 38403
Carcassonne Big Box 4, 36864
Solitaire Games, 34039
Yahtzee, 28138
Clue, 27707
Sorry, 26864
Family Game Night Book and Game Set: Scrabble, 26864
Acting, 24290
Time Track, 23747
Catan Scenarios: Helpers of Catan, 23601
Scrabble and Yahtzee, 23287
Chit-Pull System, 21922
Area-Impulse, 21575
Der Hafenmeister, 21242
Carcassonne Big Box, 19814
Small World, 19599
Small World Underground, 19389
Ancient Rome, 17657
Epic Chess, 17045
Chess Mixer, 17045
Economy Chess, 17045
Beguile: PaWN The Enemy, 17045
3D Games, 16409
Game Spice: Monopoly Expansion, 16147
Beyond Boardwalk and Park Place, 16147
Bance!, 16147
Entrepreneur's Accessory to Monopoly, 16147
Star Wars: X-Wing Miniatures Game, 15173
Catan, 15170
Gryphon Games bookshelf series, 15016
Munchkin Promotional Bookmarks, 14355
Ticket to Ride, 14343
Power Grid, 13884
Funkenschlag: EnBW, 13796
Mgawatts, 13782
Line Drawing, 13700
Munchkin Sparkly Good Fairy Shot Glass, 13434
Star Wars: X-Wing Miniatures Game  The Force Awakens Core Set, 13077
Arkham Horror: Miskatonic Horror Expansion, 12811
Promotional Board Games, 12561
Fantasy Flight Silver Line Games, 12402
Die Steinmauer (Fan Expansion for Carcassonne: Die Jger und Sammler), 12328
Tolkien Games, 12094
CCGs (Collectible Card Games), 11995
Munchkin Tavern Pint Glass, 11571
Dominion, 11128
Animals: Dragons, 11082
Glaube & Reformation (Fan expansion to Catan: Cities and Knights), 11011
Catan: Cities & Knights  5-6 Player Extension, 11011
Hexen, 11011
Zauberer & Drachen (Fan expansion to Catan: Cities and Knights), 11011
Kirche, 11011
Dominion: Intrigue, 10608
UNO: England Rugby, 10527
UNO: Angry Birds, 10527
UNO Dare!, 10527
UNO: Disney Princess, 10527
Magazine: Strategy & Tactics, 10513
Memoir '44, 10472
Schotten-Totten, 10242
Catan: Seafarers  5-6 Player Extension, 10231
De Kolonisten van Catan: De Diamanten, 10231
Rock-Paper-Scissors, 10031
Ticket to Ride: Alvin & Dexter, 9972
Kosmos two-player series, 9964
Tsunami sur le Goban, 9751
Country: Italy, 9730
Catan Scenarios: Oil Springs, 9682
Catan Scenarios: Frenemies, 9682
Country: Greece, 9588
Star Wars, 9579
Star Realms: Crisis  Bases & Battleships, 9361
Star Realms: Cosmic Gambits, 9361
Star Realms: BGG Store Promo Set One, 9361
Star Realms: Crisis  Events, 9361
Neuroshima Hex! Babel13 Artillery Outpost "THUNDER", 9116
Country: USA, 9106
Rummy Games, 9075
Combinatorial, 9040
Heroscape, 9024
A Game For Good Christians, 9006
Food / Cooking, 8993
Tube Games, 8883
Carcassonne: Kreivi ja Kuningas, 8803
Carcassonne: King & Scout, 8803
+6 Bag O' Munchkin Babes, 8768
Card Games: Outplay Games, 8743
Diplomacy: Hundred Variant, 8697
Diplomacy: Ard-Ri Variant, 8697
Diplomacy Games and Variants, 8697
Diplomacy: 1900 Variant, 8697
Verkade spel, 8559
Neuroshima Hex! Assassin, 8380
Neuroshima Hex! Alabama Mercenaries, 8380
Neuroshima Hex! Babel13, 8372
Hello Kitty, 8366
+10 Bag o' Munchkin d6, 8314
Sports: Auto Racing, 8243
Miscellaneous Game Compilation, 8086
Asian Theme, 8063
+6 Bag o' Munchkin Level Counters, 8000
Formula D, 7995
Cthulhu Mythos, 7943
Alea Medium Box, 7816
Backgammon: Zombie Rush, 7799
Whamgammon, 7799
Smash Up, 7729
Epic Munchkin, 7628
BANG!, 7398
Dominion: Special Edition, 7365
Traditional Card Games, 7301
+6 Bag O' Munchkins, 7297
Risk, 7255
Mensa Select, 7148
Country: Japan, 7114
The Book of Classic Board Games, 6942
Ticket to Ride: Switzerland, 6924
Zombies!!!, 6921
Runebound (Second Edition), 6887
Robots, 6772
Android: Netrunner, 6756
The 15 Greatest Board Games in the World, 6748
BattleLore, 6724
C3K: Creatures Crossover Cyclades/Kemet, 6640
USA), 6610
Animals: Dinosaurs, 6550
Arkham Horror, 6531
Ticket to Ride: Europe, 6530
Ticket to Ride: Mrklin, 6530
Polyominoes, 6523
From RPG books to board games, 6500
Cosmic Encounter, 6330
Country: England, 6306
Vampires, 6278
Ticket to Ride Map Collection: Volume 2  India & Switzerland, 6238
Komorw (fan expansion to Ticket to Ride), 6238
Brettspiel Adventskalender 2015, 6225
Cards Against Humanity, 6126
Agricola, 6124
Mexican Hold'em Poker, 6067
Conquest of the Pacific, 6039
Jenga, 5987
Characters: Tarzan, 5986
Dungeons & Dragons, 5941
Galaxy: The Dark Ages, 5921
Carcassonne Big Box 5, 5900
Descent: Journeys in the Dark, 5897
The Checkered Game of Life, 5883
Animals: Pigs, 5832
Living Card Game, 5820
Finger Flicking Games, 5790
7 Wonders, 5746
Tropical theme, 5707
Country: India, 5674
Singing, 5673
Kosmos Literature Series, 5667
Advanced Squad Leader, 5638
Small World: 6 Player Board, 5581
Talisman (Revised 4th Edition), 5576
Pit: Tulip expansion, 5549
Blue Moon, 5486
Small World Realms, 5470
Leaders of Small World, 5470
Small World: A Spider's Web, 5470
Kemet: Ta-Seti, 5461
Cribbage, 5446
Crayon Rail System, 5418
Country: Spain, 5391
Block wargames, 5389
Celebrities: Walt Disney, 5351
7 Wonders: Leaders, 5334
Gigamic Classic, 5309
Country: Germany, 5291
Aliens, 5282
Timeline, 5242
Card Games: Adding Games, 5197
Fluxx Dice, 5148
Mercenary Commander (fan expansion for Risk 2210 A.D.), 5144
Risk 2210 A.D. Frontline: Season Three  Factions, 5144
Risk 2210 A.D. Frontline: Season Four  Invasion of the Giant Amoebas, 5144
Risk 2210 A.D. Frontline: Season One  Mars, 5144
Talisman, 5118
Catan Card Game, 5110
Trivial Pursuit, 5054
Legendary: A Marvel Deck Building Game, 5042
Animals: Ducks, 5030
Citadels, 5022
Fluxx Promo Cards, 5011
Sentinels of the Multiverse: Chokepoint Villain Mini-Expansion, 5007
Country: Egypt, 5002
One Thousand, 4997
The Realms of Terrinoth, 4995
Killer Bunnies and the Quest for the Magic Carrot, 4976
Shedding Games, 4950
Arkham Horror: The Dunwich Horror (Herald), 4937
Super Sea Battle, 4901
Animals: Foxes, 4887
AEG: Big in Japan, 4843
CMGs (Collectible Miniatures Games), 4820
Donald Duck Big Game Box, 4815
Scattergories Refill, 4800
Apocalypse Pack, 4779
Admin: Unreleased Games, 4758
Steampunk, 4713
Munchkin, 4659
Monsters, 4635
Solitaire Wargames, 4621
Ravensburger Kartenspiele, 4617
Sentinels of the Multiverse, 4607
Pictionaussie, 4571
Age of Steam, 4559
Bohnanza, 4558
Superheroes, 4557
Reversi Barbacan, 4548
Animals: Mice, 4504
Puerto Rico, 4492
Vikings, 4488
War of the Ring: Lords of Middle-earth  Treebeard Mini-Expansion, 4465
Smash Up: Pretty Pretty Smash Up, 4436
Smash Up: Munchkin, 4436
Country: Russia, 4402
Monopoly Millionaire Deal Card Game, 4395
Monopoly Deal, 4395
Munchkin Tavern Reusable Tote, 4394
PitchCar, 4390
Lost Cities, 4343
Doom: The Boardgame Expansion Set, 4311
Killer Bunnies and the Quest for the Magic Carrot Perfectly PINK Booster, 4248
Killer Bunnies and the Quest for the Magic Carrot ORANGE Booster, 4248
Killer Bunnies and the Quest for the Magic Carrot GREEN Booster, 4248
Fluxx, 4236
Killer Bunnies and the Quest for the Magic Carrot Fan Deck, 4225
War of the Ring: Lords of Middle-earth, 4199
Monopoly, 4163
AEG: Pocket Game, 4141
Dune: Spice Harvest, 4128
Dune: The Duel, 4128
Dune Variant Cards, 4128
Play Winning Card Games For Three, 4112
Alhambra, 4096
Animals: Bears, 4093
Illuminati: Brainwash, 4054
Risk Legacy: Bonus Cards, 4049
Country: Sweden, 4036
Phase 10, 4029
World of Warcraft: The Boardgame  BlizzCon Epic Armor Pack, 4028
World of Warcraft: The Boardgame  Shadow of War, 4028
World of Warcraft: The Boardgame  The Burning Crusade, 4028
War of the Ring: Warriors of Middle-earth, 3990
Junta Expansion Cards, 3984
Animals: Chickens, 3973
Country: France, 3961
The Jewel in the Crown, 3953
Talisman (second edition): White Dwarf #115 Cards, 3953
Magia i Miecz: Jaskinia, 3953
Talisman (second edition): Le Hraut Citadel #2 Cards, 3953
Abalone Extra Player Marbles, 3946
Summoner Wars, 3942
Blood Bowl: DeathZone, 3940
4X games, 3937
Illuminati: Bavarian Fire Drill, 3932
Illuminati: Mutual Assured Distraction, 3932
Illuminati: Unconstitutional! Promo Card, 3932
ASL Action Pack #10, 3921
Components: Miniatures, 3914
Sentinels of the Multiverse: Omnitron IV Environment, 3904
10 Mighty Men, 3860
Fairy-Go-Round Domino Game, 3858
Domino Discovery Fractions, 3858
Short and Long Vowel Dominoes, 3858
Domatics, 3858
The Strategy Game, 3778
China: Arktica, 3762
China Erweiterung, 3762
China Einflusskarten, 3762
China: AD 850, 3762
Star Trek, 3748
Ticket to Ride: The Dice Expansion, 3734
HeroQuest, 3707
Country: Netherlands, 3705
BoardGameGeek Promo Offerings, 3694
Age of Kings, 3679
Colonial Theme, 3673
Country: China, 3661
Marble Games, 3652
Twilight Imperium (Third Edition), 3642
Games by the Game Artisans of Canada, 3626
Animals: Cats, 3608
Sequence, 3606
Tuscany: Expand the World of Viticulture, 3572
Timeline: 60 ans de tlvision  la RTBF, 3563
Timeline: Americana, 3563
Timeline: Discoveries, 3563
Timeline: American History, 3563
Marvel Dice Masters: Avengers vs. X-Men  Set Up Box, 3521
Gigamic Basic, 3500
Cosmic Encounter: Expansion Set #1, 3483
Cosmic Encounter: Expansion Set #3, 3483
Cosmic Encounter: Expansion Set #2, 3483
Cosmic Encounter: Expansion Set #4, 3483
Smash Up: Monster Smash, 3472
Ystari originals, 3470
Quoridor Kid, 3439
Apples to Apples, 3420
A Touch of Evil 'The Allies' Supplement, 3401
A Touch of Evil The Madness' Game Supplement, 3401
A Touch of Evil: Hero Pack 1, 3401
A Touch of Evil: Delion Dryad, 3401
Star Realms, 3381
Animals: Dogs, 3374
King of Tokyo, 3371
Sentinels of the Multiverse: Dark Watch Promo Pack, 3367
Wars of the Roses, 3360
Werewolf / Mafia, 3346
Animals: Fishes, 3332
Pass the Pigs, 3331
Animals: Apes / Monkeys, 3287
Mission: Red Planet (Second Edition), 3283
Cities: Florence, 3260
Animals: Cattle, 3200
Castle Ravenloft: Gray Hag Promo, 3198
Dungeons & Dragons: The Legend of Drizzt Board Game - Vierna Do'Urden Promo, 3198
Wrath of Ashardalon: Kobold Champion Promo, 3198
Commands & Colors, 3185
Onirim (second edition), 3157
Clix, 3156
Pathfinder Adventure Card Game, 3147
Last Night on Earth: The Zombie Game, 3137
Arctic Theme, 3109
Thunderstone: Death Sentinel Promo, 3093
Thunderstone: For the Dwarf Promo, 3093
Skip-Bo, 3088
Gears of War: Mission Pack 1, 3081
Dune, 3078
Rune Age: Oath and Anvil, 3072
Puzzle Strike Promo Chips, 3070
Viticulture: Arboriculture Expansion, 3066
Viticulture: Kickstarter Promotional Cards, 3066
The Lord of the Rings: The Card Game  Game Night Kit 2013 Season Two, 3065
Legendary Encounters: A Predator Deck Building Game, 3050
Wiz-War: Bestial Forces, 3036
Wiz-War: Malefic Curses, 3036
Puerto Rico: Expansion I  New Buildings, 3036
Time Travel, 3033
Puerto Rico: Expansion II  The Nobles, 3015
Zombicide, 3013
Machi Koro, 3009
Tactical Combat in the Middle East: Part 1  Battlefield Iraq, 3003
Black Stories, 2999
Quarriors!, 2996
Catan Dice Game XXL Variant, 2989
Catan Dice Game Plus, 2989
Another Day, 2984
Fight, 2981
Run, 2981
Lost Legacy: The Qualities of an Adventurer, 2970
Commands & Colors: Ancients, 2970
Risk: The Lord of the Rings Trilogy Edition, 2963
Revolution! Anarchy, 2948
New Characters (Fan Expansion for Revolution), 2948
Revolution! The Palace, 2948
Warhammer: Invasion, 2942
Space Hulk: Genestealer Expansion, 2930
Space Hulk Campaigns, 2930
Space Hulk: Deathwing Expansion, 2930
1830: The Nickel Plate, 2904
1830: The Coalfields, 2904
1830: Chattanooga Promotional Card, 2904
1830: Take A Ride on the Reading, 2904
Ninja, 2882
A Game of Thrones (first edition), 2876
Ogre Reinforcement Pack, 2876
Ogre Battlefields, 2876
Anime & Manga, 2863
Wings of War: Hit & Run Booster Pack, 2842
Wings of War: Flight of the Giants, 2842
Wings of War: Crossfire Booster Pack, 2842
Wings of War: Dogfight Booster Pack, 2842
Cities: New York (New York, 2840
Campaign Games, 2828
Dungeoneer, 2813
DC Comics Deck Building Game: Gotham City Docks Promo, 2810
DC Comics Deck-Building Game: Crossover Pack 1  Justice Society of America, 2810
DC Comics Deck-Building Game: Crisis Expansion Pack 2, 2810
DC Comics Deck-Building Game: Crisis Expansion (Pack 1), 2810
Age of Mythology: The Boardgame  5-6 Player Expansion, 2806
DC Universe, 2798
Country: Norway, 2797
Blue Games Series, 2791
Nuclear War Bonus Pack #2: Expansion to India Rails and Nuclear War, 2786
Magazine: Vae Victis, 2779
Mensch rgere Dich nicht: ...noch mehr rgern  Kartenerweiterung Rot, 2775
rger Dich schwarz!, 2775
Karchis, 2775
Mensch rgere Dich nicht: ...noch mehr rgern  Kartenerweiterung Blau, 2775
Hawaii: Kamapua'as Gunst, 2773
Cities: Venice, 2763
Bootleggers: Thug Promo, 2754
Civilization: The Expansion Project, 2751
Fantasy Sports, 2733
Civilization: The New World, 2729
Civilization Western Extension Map, 2729
Civilization Eastern Expansion Map, 2729
Bootleggers: The Boardwalk, 2726
Ogre Scenario Book 1, 2724
The Ogre Book, 2724
Ascension: Deckbuilding Game, 2720
Ligretto, 2712
Catan: Cities & Knights, 2706
A Song of Ice and Fire, 2704
Holidays: Christmas, 2701
Blood Bowl (Third Edition), 2701
Thurn and Taxis, 2676
Ghosts, 2668
The Legend of King Arthur and the Knights of the Round Table, 2661
Alhambra: The Falconers, 2647
Ascension: Archival Expert Promo, 2641
Benefactor of All Promo, 2641
Ascension: Cetra, 2641
Achtung! Panzer!, 2635
Thunderstone: Doomgate Legion, 2635
7.SS-Gebirgs Division "Prinz Eugen", 2635
Action at Carentan!, 2635
Advanced Squad Leader: Deluxe Pack 1, 2635
Archeology, 2634
Quantum: The Void, 2629
World War 2: Battle of the Bulge, 2606
Empire Builder Rail Games, 2602
Runebound, 2600
Sports: Horse Racing, 2598
Warhammer Fantasy Board Games, 2583
Country: Lebanon, 2582
Die Frsten von Catan: Sonderkarte 2011  Carol, 2573
die Spieleerklrein, 2573
Die Frsten von Catan: Sonderkarte 2014  Arnd, 2573
der Fischer, 2573
Die Frsten von Catan: Sonderkarte Frhjahr 2012  Catan Mobil, 2573
Die Frsten von Catan: Sonderkarte 2015  Teilnahme am Big Game, 2573
Carcassonne: Bonusplttchen Spiel 2014, 2568
Carcassonne: Bonusplttchen Spiel 2015, 2568
3M Bookshelf Series, 2555
DungeonQuest Revised Edition, 2547
Bridge, 2536
Tannhuser: Daedalus, 2533
Tannhuser Revised Edition Rulebook, 2533
Tannhuser: Edison, 2533
Tannhuser: Asteros, 2533
Nuclear War: Fold in Space, 2518
Nuclear War Booster Packs, 2518
Treasure Chest, 2518
Gloom, 2501
Survive: Escape from Atlantis!, 2500
Pathfinder Adventure Card Game: Rise of the Runelords  Base Set, 2496
Country: Poland, 2495
Battlestar Galactica, 2490
Ascension: Return of the Fallen, 2476
Cities: London, 2462
Animals: Sheep, 2457
Warhammer 40,000 Board Games, 2457
King of New York, 2435
Queen Small Box, 2429
Dictionary Games, 2424
Shadows over Camelot, 2423
7 Wonders: Cities, 2413
Chez Geek, 2410
Lord of the Rings: The Black Gate, 2408
Space Hulk: Death Angel  The Card Game, 2397
Alhambra: Medina Buildings, 2395
Alhambra: The Magical Buildings, 2395
Ascension: Storm of Souls, 2391
Saboteur, 2386
Country: Denmark, 2366
Heroscape Master Set: Swarm of the Marro, 2363
Heroscape Master Set: Rise of the Valkyrie, 2363
Panic Station: Survival Kit Mini Expansion, 2358
Panic Station: Parasite Control, 2358
Puerto Rico (zawiera 14 dodatkowych budynkow), 2357
Kingdom Builder, 2357
Puerto Rico: Limited Anniversary Edition, 2357
Zug um Zug: Deutschland, 2355
Munchkin Promo Cards, 2353
Star Trek: Fleet Captains  Dominion, 2351
Star Trek: Fleet Captains  Romulan Empire, 2351
Nuclear War Bonus Pack #1, 2350
Zooloretto, 2347
