Assessing games mechanics with a min rating of: 7.0 and a max rating of: 10.0
Printing popularity of game mechanics: (only mechanics with 1000+) are counted
Hand Management, 1318136
Dice Rolling, 974165
Card Drafting, 789372
Set Collection, 687524
Area Control / Area Influence, 580423
Variable Player Powers, 461270
Modular Board, 427596
Auction/Bidding, 381746
Tile Placement, 360088
Co-operative Play, 346109
Action Point Allowance System, 344225
Grid Movement, 334774
Worker Placement, 321782
Route/Network Building, 308155
Area Movement, 308017
Simultaneous Action Selection, 287313
Deck / Pool Building, 240579
Partnerships, 234120
Point to Point Movement, 198194
Player Elimination, 169564
Variable Phase Order, 161565
Campaign / Battle Card Driven, 130471
Area Enclosure, 91548
Hex-and-Counter, 88267
Memory, 84256
Action / Movement Programming, 82588
Voting, 80378
Secret Unit Deployment, 74772
Pick-up and Deliver, 65236
Commodity Speculation, 63512
Press Your Luck, 62326
Trading, 50102
Pattern Building, 49845
Take That, 46457
Role Playing, 40843
Stock Holding, 40661
Betting/Wagering, 40193
Simulation, 37811
Carcassonne, 33654
Carcassonne: 10 Year Special Edition, 33000
Storytelling, 29970
Carcassonne: Wheel of Fortune, 26406
Crowdfunding: Kickstarter, 24808
Solitaire Games, 22736
Der Hafenmeister, 21242
Area-Impulse, 21139
Catan Scenarios: Helpers of Catan, 20812
Time Track, 19543
Trick-taking, 18749
Carcassonne Big Box 4, 17310
Small World, 17061
Economy Chess, 17045
Epic Chess, 17045
Chess Mixer, 17045
Beguile: PaWN The Enemy, 17045
Small World Underground, 16858
Star Wars: X-Wing Miniatures Game, 15173
Paper-and-Pencil, 14813
Power Grid, 13603
Funkenschlag: EnBW, 13515
Mgawatts, 13501
Star Wars: X-Wing Miniatures Game  The Force Awakens Core Set, 13077
Arkham Horror: Miskatonic Horror Expansion, 12811
Gryphon Games bookshelf series, 12096
Roll / Spin and Move, 11913
Ticket to Ride, 11688
Chit-Pull System, 11580
Dominion, 11028
Glaube & Reformation (Fan expansion to Catan: Cities and Knights), 11011
Catan: Cities & Knights  5-6 Player Extension, 11011
Hexen, 11011
Zauberer & Drachen (Fan expansion to Catan: Cities and Knights), 11011
Kirche, 11011
Admin: Better Description Needed!, 10990
Dominion: Intrigue, 10608
Memoir '44, 10472
Catan: Seafarers  5-6 Player Extension, 10231
De Kolonisten van Catan: De Diamanten, 10231
Schotten-Totten, 10212
Ticket to Ride: Alvin & Dexter, 9972
Tsunami sur le Goban, 9751
Catan Scenarios: Frenemies, 9682
Catan Scenarios: Oil Springs, 9682
Acting, 9429
Star Realms: Crisis  Bases & Battleships, 9361
Star Realms: Cosmic Gambits, 9361
Star Realms: BGG Store Promo Set One, 9361
Star Realms: Crisis  Events, 9361
Neuroshima Hex! Babel13 Artillery Outpost "THUNDER", 9116
Heroscape, 9024
Die Steinmauer (Fan Expansion for Carcassonne: Die Jger und Sammler), 8803
Carcassonne: Kreivi ja Kuningas, 8803
Carcassonne: King & Scout, 8803
Diplomacy: Ard-Ri Variant, 8697
Diplomacy: Hundred Variant, 8697
Diplomacy Games and Variants, 8697
Diplomacy: 1900 Variant, 8697
Carcassonne Big Box, 8463
Neuroshima Hex! Assassin, 8380
Neuroshima Hex! Alabama Mercenaries, 8380
Neuroshima Hex! Babel13, 8372
Formula D, 7995
Dominion: Special Edition, 7297
Line Drawing, 7111
Android: Netrunner, 6756
C3K: Creatures Crossover Cyclades/Kemet, 6640
BattleLore, 6463
Catan, 6342
Ticket to Ride Map Collection: Volume 2  India & Switzerland, 6238
Komorw (fan expansion to Ticket to Ride), 6238
Ticket to Ride: Switzerland, 6238
Arkham Horror, 6105
Cards Against Humanity, 6028
Cosmic Encounter, 6006
Smash Up, 5961
Descent: Journeys in the Dark, 5897
Living Card Game, 5720
Brettspiel Adventskalender 2015, 5654
Robots, 5639
Small World: 6 Player Board, 5581
Runebound (Second Edition), 5558
Talisman (Revised 4th Edition), 5536
Small World Realms, 5470
Leaders of Small World, 5470
Small World: A Spider's Web, 5470
Kemet: Ta-Seti, 5461
Advanced Squad Leader, 5262
Legendary: A Marvel Deck Building Game, 5042
Citadels, 5022
Sentinels of the Multiverse: Chokepoint Villain Mini-Expansion, 5007
Arkham Horror: The Dunwich Horror (Herald), 4937
Ticket to Ride: Europe, 4762
Ticket to Ride: Mrklin, 4762
Blue Moon, 4695
7 Wonders: Leaders, 4638
Sentinels of the Multiverse, 4607
Finger Flicking Games, 4595
Puerto Rico, 4486
War of the Ring: Lords of Middle-earth  Treebeard Mini-Expansion, 4465
Sports: Auto Racing, 4444
Smash Up: Pretty Pretty Smash Up, 4436
Smash Up: Munchkin, 4436
War of the Ring: Lords of Middle-earth, 4199
Age of Steam, 4198
Catan Card Game, 4176
Dune: The Duel, 4128
Dune: Spice Harvest, 4128
Dune Variant Cards, 4128
Country: USA, 4067
PitchCar, 4064
Risk Legacy: Bonus Cards, 4049
Block wargames, 3998
War of the Ring: Warriors of Middle-earth, 3990
Summoner Wars, 3942
Blood Bowl: DeathZone, 3940
ASL Action Pack #10, 3921
Sentinels of the Multiverse: Omnitron IV Environment, 3904
7 Wonders, 3902
China: Arktica, 3762
China Erweiterung, 3762
China Einflusskarten, 3762
China: AD 850, 3762
Ticket to Ride: The Dice Expansion, 3734
HeroQuest, 3663
The Realms of Terrinoth, 3645
Twilight Imperium (Third Edition), 3642
Tuscany: Expand the World of Viticulture, 3572
Marvel Dice Masters: Avengers vs. X-Men  Set Up Box, 3521
Smash Up: Monster Smash, 3472
Agricola, 3449
Colonial Theme, 3438
A Touch of Evil 'The Allies' Supplement, 3401
A Touch of Evil The Madness' Game Supplement, 3401
A Touch of Evil: Delion Dryad, 3401
A Touch of Evil: Hero Pack 1, 3401
Star Realms, 3381
King of Tokyo, 3371
Sentinels of the Multiverse: Dark Watch Promo Pack, 3367
Star Wars, 3315
Traditional Card Games, 3269
Admin: Unreleased Games, 3240
Country: Italy, 3234
Castle Ravenloft: Gray Hag Promo, 3198
Dungeons & Dragons: The Legend of Drizzt Board Game - Vierna Do'Urden Promo, 3198
Wrath of Ashardalon: Kobold Champion Promo, 3198
Pathfinder Adventure Card Game, 3145
Thunderstone: Death Sentinel Promo, 3093
Thunderstone: For the Dwarf Promo, 3093
Gears of War: Mission Pack 1, 3081
Viticulture: Arboriculture Expansion, 3066
Viticulture: Kickstarter Promotional Cards, 3066
The Lord of the Rings: The Card Game  Game Night Kit 2013 Season Two, 3065
Commands & Colors, 3056
Legendary Encounters: A Predator Deck Building Game, 3050
Wiz-War: Malefic Curses, 3036
Puerto Rico: Expansion I  New Buildings, 3036
Wiz-War: Bestial Forces, 3036
Country: Spain, 3034
Puerto Rico: Expansion II  The Nobles, 3015
Fight, 2981
Run, 2981
Last Night on Earth: The Zombie Game, 2978
Commands & Colors: Ancients, 2970
Warhammer: Invasion, 2942
Space Hulk: Genestealer Expansion, 2930
Space Hulk Campaigns, 2930
Space Hulk: Deathwing Expansion, 2930
Zombicide, 2911
1830: The Nickel Plate, 2904
1830: The Coalfields, 2904
1830: Chattanooga Promotional Card, 2904
1830: Take A Ride on the Reading, 2904
A Game of Thrones (first edition), 2876
Superheroes, 2847
Wings of War: Hit & Run Booster Pack, 2842
Wings of War: Flight of the Giants, 2842
Wings of War: Crossfire Booster Pack, 2842
Wings of War: Dogfight Booster Pack, 2842
DC Comics Deck Building Game: Gotham City Docks Promo, 2810
DC Comics Deck-Building Game: Crossover Pack 1  Justice Society of America, 2810
DC Comics Deck-Building Game: Crisis Expansion Pack 2, 2810
DC Comics Deck-Building Game: Crisis Expansion (Pack 1), 2810
Hawaii: Kamapua'as Gunst, 2773
Machi Koro, 2752
Civilization: The Expansion Project, 2751
BoardGameGeek Promo Offerings, 2748
Civilization Eastern Expansion Map, 2729
Civilization Western Extension Map, 2729
Civilization: The New World, 2729
Catan: Cities & Knights, 2706
Blood Bowl (Third Edition), 2701
Country: Russia, 2691
Dune, 2678
Singing, 2657
Alhambra: The Falconers, 2647
Ascension: Archival Expert Promo, 2641
Benefactor of All Promo, 2641
Ascension: Cetra, 2641
Achtung! Panzer!, 2635
Thunderstone: Doomgate Legion, 2635
7.SS-Gebirgs Division "Prinz Eugen", 2635
Action at Carentan!, 2635
Advanced Squad Leader: Deluxe Pack 1, 2635
Quantum: The Void, 2629
Ancient Rome, 2585
der Fischer, 2573
die Spieleerklrein, 2573
Die Frsten von Catan: Sonderkarte 2014  Arnd, 2573
Die Frsten von Catan: Sonderkarte Frhjahr 2012  Catan Mobil, 2573
Die Frsten von Catan: Sonderkarte 2015  Teilnahme am Big Game, 2573
Die Frsten von Catan: Sonderkarte 2011  Carol, 2573
Carcassonne: Bonusplttchen Spiel 2014, 2568
Carcassonne: Bonusplttchen Spiel 2015, 2568
Country: Norway, 2529
Cthulhu Mythos, 2514
Treasure Chest, 2509
Country: Sweden, 2498
Battlestar Galactica, 2486
Vikings, 2480
Card Games: Outplay Games, 2442
Pathfinder Adventure Card Game: Rise of the Runelords  Base Set, 2438
King of New York, 2435
Shadows over Camelot, 2423
7 Wonders: Cities, 2413
Lord of the Rings: The Black Gate, 2408
USA), 2403
Space Hulk: Death Angel  The Card Game, 2397
Alhambra: Medina Buildings, 2395
Alhambra: The Magical Buildings, 2395
Promotional Board Games, 2368
Bridge, 2368
CCGs (Collectible Card Games), 2360
Puerto Rico (zawiera 14 dodatkowych budynkow), 2357
Puerto Rico: Limited Anniversary Edition, 2357
Rock-Paper-Scissors, 2357
Star Trek: Fleet Captains  Dominion, 2351
