Assessing games subdomains with a min rating of: 0.1 and a max rating of: 10.0
Printing popularity of game subdomains: (only subdomains with 1000+) are counted
Strategy Games, 2381762
Family Games, 1641024
Thematic Games, 756065
Card Game, 741394
Expansion for Base-game, 641773
Fantasy, 415299
Party Games, 359350
Fighting, 349096
Wargames, 343368
Wargame, 267656
Economic, 235892
Science Fiction, 218180
Medieval, 210945
Abstract Games, 204144
Adventure, 198969
Dice, 190669
Dice Rolling, 176867
Abstract Strategy, 175309
Bluffing, 171512
Negotiation, 160920
Exploration, 158155
City Building, 156613
Hand Management, 135572
Territory Building, 129629
Customizable Games, 129272
Miniatures, 126018
Humor, 124633
Ancient, 113390
Horror, 112660
Deduction, 111340
Roll / Spin and Move, 109980
Party Game, 103005
World War II, 99811
Civilization, 97308
Children's Game, 96251
Animals, 95755
Movies / TV / Radio theme, 94566
Nautical, 77230
Transportation, 75793
Comic Book / Strip, 72520
Racing, 72491
Children's Games, 71891
Political, 70967
Set Collection, 66843
Variable Player Powers, 64254
Action / Dexterity, 63201
Trains, 57418
Modular Board, 56308
Novel-based, 53031
Aviation / Flight, 49867
Real-time, 47021
Industry / Manufacturing, 44232
Memory, 43937
Hex-and-Counter, 43349
Renaissance, 43094
Tile Placement, 42928
Mythology, 42269
Farming, 41655
Co-operative Play, 40681
Auction/Bidding, 40648
Word Game, 39204
Partnerships, 39149
Simultaneous Action Selection, 37853
Collectible Components, 37198
Area Movement, 36151
Sports, 34507
Travel, 33878
Space Exploration, 33435
American West, 32894
Area Control / Area Influence, 32687
Video Game Theme, 30351
Simulation, 30138
Card Drafting, 28892
Prehistoric, 27710
Murder/Mystery, 27353
Zombies, 24539
Action Point Allowance System, 24292
Maze, 23574
Puzzle, 23533
Role Playing, 23493
Trivia, 23431
Print & Play, 22513
Point to Point Movement, 22479
Educational, 21479
Pattern Building, 21204
Trading, 21067
Pirates, 20576
Campaign / Battle Card Driven, 19850
Napoleonic, 19842
Number, 19586
Grid Movement, 19271
Mafia, 19023
Paper-and-Pencil, 18823
Modern Warfare, 18324
Deck / Pool Building, 18176
Pattern Recognition, 16839
Press Your Luck, 16317
Player Elimination, 16256
Betting/Wagering, 16037
Pick-up and Deliver, 15920
Secret Unit Deployment, 15593
Spies/Secret Agents, 14866
World War I, 14729
Stock Holding, 12862
Route/Network Building, 12861
American Civil War, 11647
Environmental, 11240
Religious, 10968
Age of Reason, 10783
Post-Napoleonic, 10767
Arabian, 10478
Electronic, 10392
Trick-taking, 10249
Commodity Speculation, 9954
Voting, 9593
Book, 8601
Area Enclosure, 7935
Acting, 7931
Take That, 7644
Medical, 6965
Game System, 6859
American Revolutionary War, 6632
Rock-Paper-Scissors, 6495
Variable Phase Order, 5821
Civil War, 5061
Worker Placement, 5025
Mature / Adult, 4967
Action / Movement Programming, 4942
Storytelling, 4813
Music, 4571
Chit-Pull System, 4356
Math, 4264
3D Games, 4198
Electronic Master Mind, 3850
Grand Mastermind, 3850
Crack the Code, 3850
Mastermind Challenge, 3850
Line Drawing, 3838
American Indian Wars, 3602
Marble Games, 2933
Catch Phrase, 2166
Vietnam War, 1873
Admin: Better Description Needed!, 1865
Pike and Shot, 1813
CCGs (Collectible Card Games), 1786
Zombicide, 1708
Zombicide Season 2: Prison Outbreak, 1692
Area-Impulse, 1662
Solitaire Games, 1637
Crowdfunding: Kickstarter, 1537
PitchCar Mini Extension 5: The Cross, 1487
PitchCar Mini Extension 2, 1487
PitchCar Mini Extension, 1487
PitchCar Mini Special Long Straights, 1487
Singing, 1414
Hungry Hungry Hippos Fun on the Run Game, 1364
Celebrities: Walt Disney, 1229
Star Wars: Imperial Assault, 1172
Admin: Miscellaneous Placeholder, 1166
3M Bookshelf Series, 1121
Animals: Apes / Monkeys, 1101
Tube Games, 1091
Finger Flicking Games, 1090
Admin: Unreleased Games, 1047
Timeline: American History, 1041
Timeline: 60 ans de tlvision  la RTBF, 1041
Timeline: Americana, 1041
Timeline: Discoveries, 1041
