Assessing games subdomains with a min rating of: 0.1 and a max rating of: 7.0
Printing popularity of game subdomains: (only subdomains with 1000+) are counted
Family Games, 797829
Card Game, 493070
Strategy Games, 406731
Fantasy, 224107
Party Games, 218484
Thematic Games, 211251
Fighting, 158291
Wargame, 150522
Expansion for Base-game, 149110
Abstract Strategy, 135259
Economic, 127165
Dice, 125916
Abstract Games, 118583
Bluffing, 114324
Medieval, 110837
Dice Rolling, 110186
Roll / Spin and Move, 107774
Humor, 107314
Science Fiction, 102785
Adventure, 102756
Wargames, 97913
Children's Game, 94885
Party Game, 89752
Exploration, 88669
Hand Management, 84959
Animals, 84273
Negotiation, 82009
City Building, 81899
Deduction, 77732
Children's Games, 68696
Ancient, 63933
Horror, 61115
Racing, 60897
Movies / TV / Radio theme, 58909
Set Collection, 57586
Action / Dexterity, 54554
Territory Building, 52803
World War II, 47638
Nautical, 46865
Comic Book / Strip, 44886
Political, 38856
Memory, 38640
Civilization, 38458
Variable Player Powers, 37518
Real-time, 37504
Miniatures, 37224
Word Game, 36123
Tile Placement, 31575
Transportation, 31175
Hex-and-Counter, 31153
Novel-based, 30732
Area Movement, 30372
Modular Board, 30093
Mythology, 29322
Auction/Bidding, 29279
Renaissance, 28918
Simultaneous Action Selection, 25055
Area Control / Area Influence, 24096
American West, 23780
Customizable Games, 23098
Trivia, 23037
Farming, 22273
Maze, 22267
Puzzle, 22015
Video Game Theme, 21890
Partnerships, 21284
Simulation, 21061
Collectible Components, 20686
Trains, 20183
Pattern Building, 19905
Trading, 19869
Educational, 19366
Number, 19163
Industry / Manufacturing, 18228
Pirates, 17751
Sports, 17526
Zombies, 16636
Card Drafting, 16608
Aviation / Flight, 16534
Murder/Mystery, 16515
Paper-and-Pencil, 16339
Print & Play, 16332
Pattern Recognition, 16253
Space Exploration, 16173
Mafia, 15860
Prehistoric, 15455
Point to Point Movement, 15426
Press Your Luck, 15414
Role Playing, 15040
Co-operative Play, 13955
Campaign / Battle Card Driven, 13581
Modern Warfare, 13496
Action Point Allowance System, 12848
Secret Unit Deployment, 11481
Betting/Wagering, 11435
Napoleonic, 11238
Grid Movement, 10690
Pick-up and Deliver, 10496
Travel, 9938
Player Elimination, 9837
Voting, 9289
Spies/Secret Agents, 9080
Trick-taking, 9060
Religious, 8468
American Civil War, 8126
Environmental, 7574
Arabian, 7554
Commodity Speculation, 7432
Electronic, 7223
Stock Holding, 7201
Take That, 7178
World War I, 6732
Game System, 6382
Age of Reason, 6352
Area Enclosure, 6074
Acting, 5959
Rock-Paper-Scissors, 5839
Medical, 5755
Route/Network Building, 5038
Music, 4377
Deck / Pool Building, 4249
Math, 4198
Storytelling, 4185
3D Games, 4178
Electronic Master Mind, 3850
Grand Mastermind, 3850
Crack the Code, 3850
Mastermind Challenge, 3850
American Revolutionary War, 3831
Mature / Adult, 3627
Marble Games, 2908
American Indian Wars, 2870
Civil War, 2649
Line Drawing, 2384
Book, 2354
Catch Phrase, 2166
Action / Movement Programming, 1884
Worker Placement, 1848
CCGs (Collectible Card Games), 1700
Admin: Better Description Needed!, 1665
Post-Napoleonic, 1617
Chit-Pull System, 1600
PitchCar Mini Extension 5: The Cross, 1487
PitchCar Mini Extension 2, 1487
PitchCar Mini Extension, 1487
PitchCar Mini Special Long Straights, 1487
Solitaire Games, 1446
Singing, 1406
Hungry Hungry Hippos Fun on the Run Game, 1364
Area-Impulse, 1352
Celebrities: Walt Disney, 1228
Pike and Shot, 1145
Crowdfunding: Kickstarter, 1141
3M Bookshelf Series, 1121
Vietnam War, 1120
Animals: Apes / Monkeys, 1100
Tube Games, 1061
Variable Phase Order, 1045
Timeline: American History, 1041
Timeline: 60 ans de tlvision  la RTBF, 1041
Timeline: Americana, 1041
Timeline: Discoveries, 1041
