Assessing games ranks with a min popularity of: 1000,
Rank,Popularity
1,20360
2,14868
3,9698
4,13437
5,40241
6,40082
7,15609
8,12990
9,15888
10,15959
11,4451
12,34785
14,10899
15,15946
16,8876
17,12458
18,9934
19,37409
20,19300
21,6978
22,19455
23,10341
24,28946
25,8779
26,11456
27,15980
28,20336
29,21052
30,12207
31,44868
32,9962
33,17880
34,8346
35,7926
36,5189
38,7019
39,9907
40,12215
41,6292
42,5575
43,44572
44,5717
45,9031
46,10066
47,6127
48,6123
49,3137
50,5445
51,23832
52,4876
53,3812
54,9361
56,6875
57,8728
58,4483
59,9156
61,3050
62,6132
63,12161
64,26331
65,4418
66,5461
67,5689
68,9087
69,13901
70,14157
71,9751
72,3987
73,11365
74,6776
75,3599
76,5813
77,9988
78,5484
79,9913
80,9147
81,8005
82,6597
84,37611
85,2268
86,2628
87,2322
88,6232
89,16496
90,16534
91,10860
92,18853
93,7708
94,9472
95,4789
96,9601
97,9440
99,13793
100,4505
101,5608
102,5240
104,4640
106,2701
107,6305
108,9247
111,7184
112,7046
114,53363
115,10057
116,6388
117,33550
118,9442
119,1429
120,24340
121,4049
122,22488
123,5751
124,7189
125,25299
126,18809
127,2610
128,5251
129,2635
130,3001
131,10705
132,7415
133,6130
134,5610
135,10212
136,4128
137,4902
138,1643
139,11095
140,5679
141,7725
142,7410
143,8983
144,4650
145,25880
147,1750
148,3551
149,16202
150,2006
151,5329
152,8247
153,13496
154,15587
155,8260
156,8469
157,1566
158,12010
159,8313
160,11344
161,7576
162,6959
163,5147
164,11677
165,3823
166,16735
167,3753
168,3940
169,9609
170,54254
172,6517
173,10088
174,9624
175,7148
176,4973
177,3805
178,6723
179,11488
180,3451
181,7601
183,5470
184,3199
185,10506
187,3847
188,3155
189,6002
190,5926
191,5846
192,6400
195,3005
196,8811
198,3521
199,4314
200,12623
201,1410
202,2071
204,4525
205,3484
206,8805
207,2673
211,4377
212,2580
213,5937
214,3044
215,1617
216,3591
217,6058
218,11973
219,4096
220,31586
221,1572
222,11446
223,12337
224,2271
225,2802
226,6441
227,3306
228,16945
229,6848
230,2872
232,3726
233,4882
234,3829
235,2351
237,4373
238,5114
239,2657
240,4209
241,1444
242,2725
243,4202
244,3081
245,3472
246,5495
247,2970
248,3292
249,1738
251,4570
252,5508
253,1887
254,1770
256,3383
257,6217
258,6526
259,2342
260,7583
262,13631
263,16804
264,2336
265,2169
266,1740
267,22066
268,5239
269,6785
270,1674
271,3053
272,6381
273,4578
274,5516
275,3660
276,2930
278,5077
279,8293
280,2356
281,1587
282,3154
283,3352
285,23910
286,2816
288,3198
289,8803
290,1517
291,6437
292,7269
293,2487
295,10236
296,2867
297,6163
298,2629
299,2056
300,2283
301,3737
302,1834
303,6590
304,6027
305,2851
307,5198
310,3641
311,2361
312,6981
315,9384
317,17703
318,4143
319,5215
320,2300
321,3184
322,3546
323,3008
324,4382
325,9956
326,2784
327,2785
328,2908
330,5076
332,1856
334,3022
335,5152
336,5488
337,17045
338,2698
339,14328
340,11258
341,6857
342,2311
344,9549
345,3568
347,2046
348,2301
349,1971
350,1822
351,4720
352,3567
353,8207
354,3986
355,10783
357,3285
358,2773
359,3527
360,2163
361,4900
362,1497
364,6615
366,7075
367,5441
368,6365
369,4414
370,3260
371,4100
372,8697
373,2649
374,14255
375,8145
380,11764
383,5655
384,2433
385,2262
386,2244
387,10768
388,1420
391,1267
392,4136
393,1980
395,1978
397,2694
398,2026
399,5672
400,4653
402,1394
403,3705
404,2609
405,4899
406,1970
407,9060
