Assessing only games categories with a min rating of: 7.0 and a max rating of: 10.0, and a minimum popularity of: 1000 votes
Printing all categories that more than 10 games have
171, Card Game
149, Expansion for Base-game
139, Economic
119, Fantasy
113, Fighting
77, City Building
77, Medieval
68, Adventure
67, Civilization
67, Science Fiction
57, Wargame
51, Exploration
49, Bluffing
47, Ancient
46, Dice
45, Miniatures
41, Territory Building
41, Negotiation
36, Political
36, Horror
36, Deduction
32, Nautical
30, Industry / Manufacturing
29, Farming
29, Transportation
28, Renaissance
27, Abstract Strategy
27, Movies / TV / Radio theme
24, Trains
21, Animals
20, World War II
19, Humor
19, Novel-based
18, Space Exploration
17, Party Game
16, Travel
15, Racing
15, Aviation / Flight
13, Comic Book / Strip
12, Mythology
12, Action / Dexterity
