Assessing games categories with a min rating of: 0.1 and a max rating of: 10.0
Printing popularity of game categories: (only categories with 1000+) are counted
Card Game, 2390089
Fantasy, 1301509
Economic, 1108425
Fighting, 1053184
Expansion for Base-game, 963826
Medieval, 748472
Adventure, 665312
Bluffing, 664466
Wargame, 662739
City Building, 662621
Science Fiction, 631962
Dice, 574147
Exploration, 528502
Civilization, 520391
Negotiation, 474416
Territory Building, 467508
Ancient, 454627
Abstract Strategy, 452011
Deduction, 445427
Humor, 428405
Animals, 406361
Party Game, 380267
Horror, 358097
Miniatures, 328138
Nautical, 305251
Movies / TV / Radio theme, 293644
Farming, 270825
Children's Game, 257469
Renaissance, 248276
Political, 247976
Racing, 244104
Trains, 237760
World War II, 235630
Transportation, 212661
Action / Dexterity, 207130
Novel-based, 196190
Industry / Manufacturing, 183715
Travel, 170042
Real-time, 166249
Space Exploration, 138458
Mythology, 134697
Sports, 128991
Aviation / Flight, 115340
Collectible Components, 112225
Comic Book / Strip, 110697
Murder/Mystery, 105869
American West, 105431
Pirates, 101175
Word Game, 100868
Puzzle, 97230
Trivia, 82685
Arabian, 72852
Zombies, 72738
Environmental, 70292
Educational, 69907
Memory, 69810
Medical, 67919
Modern Warfare, 66963
Video Game Theme, 65782
Prehistoric, 64052
Religious, 57754
Napoleonic, 57317
Print & Play, 52629
Electronic, 47783
Age of Reason, 46010
Maze, 41125
Number, 38156
Post-Napoleonic, 35591
Mafia, 34679
World War I, 30012
Spies/Secret Agents, 29924
American Civil War, 29281
Civil War, 20537
Mature / Adult, 19633
Book, 17675
American Indian Wars, 15766
American Revolutionary War, 12889
Game System, 11936
Math, 10658
Music, 8161
Vietnam War, 7030
Pike and Shot, 5270
Korean War, 2232
Fan Expansion, 1123
