Assessing games categories with a min rating of: 7.0 and a max rating of: 10.0
Printing popularity of game categories: (only categories with 1000+) are counted
Card Game, 1148341
Economic, 841831
Fantasy, 801684
Expansion for Base-game, 771784
Fighting, 672825
Medieval, 532428
City Building, 508874
Civilization, 441230
Science Fiction, 425255
Adventure, 412128
Wargame, 357668
Bluffing, 331719
Territory Building, 322164
Negotiation, 307033
Exploration, 295370
Ancient, 292327
Dice, 266863
Deduction, 243051
Miniatures, 240409
Farming, 237568
Horror, 206960
Renaissance, 199602
Nautical, 183127
Trains, 180998
Political, 166908
Animals, 149391
Industry / Manufacturing, 146164
Movies / TV / Radio theme, 143967
Transportation, 143145
World War II, 140570
Abstract Strategy, 137988
Travel, 123191
Novel-based, 121495
Humor, 116671
Space Exploration, 108345
Racing, 87895
Party Game, 80356
Mythology, 73747
Sports, 64479
Aviation / Flight, 62861
Medical, 60524
Collectible Components, 60233
Real-time, 56360
Environmental, 55239
Comic Book / Strip, 53723
Arabian, 52999
American West, 43459
Action / Dexterity, 42856
Murder/Mystery, 41740
Zombies, 41424
Pirates, 40759
Modern Warfare, 37209
Age of Reason, 36785
Religious, 35805
Post-Napoleonic, 30679
Video Game Theme, 30058
Prehistoric, 28709
Napoleonic, 26776
Electronic, 22317
Puzzle, 20137
Memory, 17358
Educational, 17140
American Civil War, 16972
Civil War, 16552
Print & Play, 16126
World War I, 14164
American Indian Wars, 12741
Trivia, 12644
Book, 9923
Spies/Secret Agents, 8735
American Revolutionary War, 8670
Mafia, 7091
Maze, 6801
Children's Game, 6191
Word Game, 5946
Vietnam War, 5174
Game System, 3452
Number, 3290
Pike and Shot, 3086
Mature / Adult, 2693
Korean War, 1494
