Assessing games categories with a min rating of: 0.1 and a max rating of: 7.0
Printing popularity of game categories: (only categories with 1000+) are counted
Card Game, 1245171
Fantasy, 501604
Fighting, 382740
Bluffing, 333799
Abstract Strategy, 321429
Humor, 312987
Wargame, 309097
Dice, 308716
Party Game, 301384
Economic, 273595
Animals, 261114
Adventure, 253740
Children's Game, 251969
Exploration, 234675
Medieval, 217717
Science Fiction, 208661
Deduction, 204443
Expansion for Base-game, 194932
Negotiation, 169859
Action / Dexterity, 165911
Racing, 164526
Ancient, 164357
City Building, 153826
Horror, 151242
Movies / TV / Radio theme, 150618
Territory Building, 148939
Nautical, 123142
Real-time, 115303
World War II, 95823
Word Game, 95055
Miniatures, 89148
Puzzle, 82501
Political, 81130
Civilization, 80381
Novel-based, 74751
Sports, 71416
Trivia, 70177
Transportation, 69571
Murder/Mystery, 65058
American West, 63447
Mythology, 60976
Pirates, 60453
Trains, 57735
Comic Book / Strip, 57552
Educational, 52998
Collectible Components, 52663
Aviation / Flight, 52621
Memory, 52559
Renaissance, 49466
Travel, 46881
Maze, 39707
Industry / Manufacturing, 38285
Farming, 38262
Print & Play, 37118
Video Game Theme, 35763
Prehistoric, 35352
Number, 34888
Napoleonic, 32296
Zombies, 31369
Space Exploration, 31102
Modern Warfare, 29975
Mafia, 27805
Electronic, 25876
Religious, 23363
Spies/Secret Agents, 21202
Arabian, 19856
Mature / Adult, 16974
World War I, 15968
Environmental, 15084
American Civil War, 12345
Math, 10449
Age of Reason, 9397
Game System, 8501
Music, 7914
Book, 7859
Medical, 7400
Post-Napoleonic, 4918
American Revolutionary War, 4266
Civil War, 4011
American Indian Wars, 3041
Pike and Shot, 2185
Vietnam War, 1860
