name,rank,year_published,mechanics,categories,subdomains,playing_time,mfg_suggested_ages,user_suggested_ages,expansions,languages,honors,mfg_suggested_players,user_suggested_players,count_ratings,avg_ratings,std_deviation,count_views
Twilight Struggle,1,2005,"Action Point Allowance System, Area Control / Area Influence, Campaign / Battle Card Driven, Dice Rolling","Modern Warfare, Political, Wargame","Strategy Games, Wargames",180 minutes,13 and up,14 and up,"Twilight Struggle: ""Anni di Piombo"" Promo Card, Twilight Struggle: ""Pakt Bagdadzki"" and ""Stan Wojenny"" Promo Cards, Twilight Struggle: ""Referendum NATO"" Promo Card, Twilight Struggle: What If?",Extensive use of text - massive conversion needed to be playable,"2005 Charles S. Roberts Best Modern Era Boardgame Nominee, 2005 Charles S. Roberts Best Modern Era Boardgame Winner, 2005 James F. Dunnigan Award Nominee, 2005 James F. Dunnigan Award Winner",2,Best with 2 players,20401,8.33,1.61,2518442
Terra Mystica,2,2012,"Route/Network Building, Variable Player Powers","Civilization, Economic, Fantasy, Territory Building",Strategy Games,60150 minutes,12 and up,12 and up,"Terra Mystica: 4 Town Tiles, Terra Mystica: Bonus Card Shipping Value, Terra Mystica: Erweiterungsbogen, Terra Mystica: Fire & Ice",No necessary in-game text,"2012 Jogo do Ano Nominee, 2012 Meeples' Choice Nominee, 2012 Meeples' Choice Winner, 2013 Deutscher Spiele Preis Best Family/Adult Game Winner",25,Best with 4 players,14946,8.29,1.46,1524164
Caverna: The Cave Farmers,3,2013,"Tile Placement, Worker Placement","Animals, Economic, Farming",Strategy Games,30210 minutes,12 and up,12 and up,"Caverna: Christmas Chamber, Caverna: LARP and Cosplay Postcard, Caverna: Mini Expansion, Caverna: Water Features",Moderate in-game text - needs crib sheet or paste ups,"2013 Golden Geek Best Board Game Artwork/Presentation Nominee, 2013 Meeples' Choice Nominee, 2014 Guldbrikken Best Adult Game Nominee, 2014 Guldbrikken Best Adult Game Winner",17,Best with 4 players,9772,8.28,1.39,940876
Through the Ages: A Story of Civilization,4,2006,"Action Point Allowance System, Auction/Bidding, Card Drafting, Hand Management","Civilization, Economic",Strategy Games,240 minutes,12 and up,14 and up,"BGO Extended 2.0 expansion (fan expansion for Through the Ages), Cywilizacja: Poprzez wieki  Polski dodatek 1, Cywilizacja: Poprzez wieki  Polski dodatek 2, Through the Ages: A Story of Civilization  Czech expansion",Extensive use of text - massive conversion needed to be playable,"2007 Golden Geek Best Gamer's Board Game Nominee, 2007 International Gamers Awards - General Strategy, Multi-player, 2008 Golden Geek Best Card Game Nominee, 2008 Golden Geek Best Gamer's Board Game Nominee",24,Best with 3 players,13456,8.20,1.64,1950072
Puerto Rico,5,2002,Variable Phase Order,"City Building, Economic, Farming",Strategy Games,90150 minutes,12 and up,12 and up,"Haiti (fan expansion for Puerto Rico), Puerto Rico: Expansion I  New Buildings, Puerto Rico: Expansion II  The Nobles, Treasure Chest",Moderate in-game text - needs crib sheet or paste ups,"2002 Deutscher Spiele Preis Best Family/Adult Game Winner, 2002 Essener Feder Best Written Rules Winner, 2002 Japan Boardgame Prize Best Advanced Game Nominee, 2002 Japan Boardgame Prize Best Advanced Game Winner",25,Best with 4 players,40294,8.14,1.40,2480158
Agricola,6,2007,"Area Enclosure, Card Drafting, Hand Management, Worker Placement","Animals, Economic, Farming",Strategy Games,30150 minutes,12 and up,12 and up,"Agricola CZ-Deck, Agricola Ereigniskarten, Agricola L-Deck, Agricola X-Deck",Extensive use of text - massive conversion needed to be playable,"2007 Meeples' Choice Award, 2008 Deutscher Spiele Preis Best Family/Adult Game Winner, 2008 Golden Geek Best 2-Player Board Game Nominee, 2008 Golden Geek Best Board Game Artwork/Presentation Nominee",15,Best with 34 players,40150,8.11,1.56,3050195
Android: Netrunner,7,2012,"Action Point Allowance System, Hand Management, Secret Unit Deployment, Variable Player Powers","Bluffing, Card Game, Science Fiction",Customizable Games,45 minutes,14 and up,12 and up,"Android: Netrunner  A Study in Static, Android: Netrunner  All That Remains, Android: Netrunner  Breaker Bay, Android: Netrunner  Business First",Extensive use of text - massive conversion needed to be playable,"2012 Golden Geek Best 2-Player Board Game Nominee, 2012 Golden Geek Best Card Game Nominee, 2012 Golden Geek Best Card Game Winner, 2012 Golden Geek Golden Geek Best 2-Player Board Game Winner",2,Best with 2 players,15647,8.15,1.61,3284411
Mage Knight Board Game,8,2011,"Card Drafting, Co-operative Play, Deck / Pool Building, Dice Rolling","Adventure, Exploration, Fantasy, Fighting","Strategy Games, Thematic Games",150 minutes,14 and up,14 and up,"Mage Knight Board Game: Krang Character Expansion, Mage Knight Board Game: Shades of Tezla Expansion, Mage Knight Board Game: The Lost Legion",Extensive use of text - massive conversion needed to be playable,"2012 Golden Geek Best Board Game Artwork/Presentation Nominee, 2012 Golden Geek Best Innovative Board Game Nominee, 2012 Golden Geek Best Strategy Board Game Nominee, 2012 Golden Geek Best Thematic Board Game Nominee",14,Best with 12 players,13028,8.16,1.59,1896149
The Castles of Burgundy,9,2011,"Dice Rolling, Set Collection, Tile Placement, Variable Player Powers","Dice, Medieval, Territory Building",Strategy Games,3090 minutes,12 and up,12 and up,"Brettspiel Adventskalender 2015, The Castles of Burgundy: 1st Expansion  New Player Boards, The Castles of Burgundy: 2nd Expansion  New Hex Tiles, The Castles of Burgundy: 3rd Expansion  German Board Game Championship Board",No necessary in-game text,"2011 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2011 Golden Geek Best Strategy Board Game Nominee, 2011 International Gamers Award - General Strategy, Multi-player Nominee, 2011 Meeples' Choice Award",24,Best with 2 players,15954,8.09,1.22,960012
Eclipse,10,2011,"Area Control / Area Influence, Dice Rolling, Grid Movement, Modular Board","Civilization, Fighting, Science Fiction, Space Exploration",Strategy Games,60200 minutes,14 and up,12 and up,"Eclipse: Black Hole, Eclipse: Elders of the Solstice, Eclipse: Minions of the Solstice, Eclipse: Nebula",No necessary in-game text,"2011 Charles S. Roberts Best Science-Fiction or Fantasy Board Wargame Nominee, 2011 Jogo do Ano Nominee, 2012 Golden Geek Best Board Game Artwork/Presentation Nominee, 2012 Golden Geek Best Innovative Board Game Nominee",26,"Best with 4, 6 players",15991,8.08,1.48,2101253
Star Wars: Imperial Assault,11,2014,"Dice Rolling, Grid Movement, Modular Board, Partnerships","Adventure, Exploration, Fighting, Miniatures",Thematic Games,90 minutes,,12 and up,"Star Wars: Imperial Assault  Alliance Smuggler Ally Pack, Star Wars: Imperial Assault  Bantha Rider Villain Pack, Star Wars: Imperial Assault  Boba Fett Villain Pack, Star Wars: Imperial Assault  Chewbacca Ally Pack",Extensive use of text - massive conversion needed to be playable,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Thematic Board Game Nominee, 2014 Golden Geek Board Game of the Year Nominee, 2014 Meeples' Choice Nominee",25,"Best with 2, 5 players",4515,8.41,1.43,1076489
Power Grid,12,2004,"Auction/Bidding, Route/Network Building","Economic, Industry / Manufacturing",Strategy Games,120 minutes,12 and up,12 and up,"Atolla Modulis (fan expansion for Funkenschlag), Brettspiel Adventskalender 2015, Funkenschlag: Speicherkraftwerk, Hoogspanning: Het Verre Oosten",No necessary in-game text,"2004 International Gamers Awards - General Strategy, Multi-player Nominee, 2004 Meeples' Choice Award, 2004 Tric Trac d'Argent, 2004 Tric Trac Nominee",26,Best with 45 players,34844,7.99,1.33,1898571
War of the Ring (second edition),13,2012,"Area Control / Area Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling","Adventure, Dice, Fantasy, Miniatures",Thematic Games,150 minutes,13 and up,14 and up,"War of the Ring: Lords of Middle-earth, War of the Ring: Lords of Middle-earth  Treebeard Mini-Expansion, War of the Ring: Warriors of Middle-earth",Extensive use of text - massive conversion needed to be playable,None,24,Best with 2 players,4003,8.35,1.59,564741
Robinson Crusoe: Adventures on the Cursed Island,14,2012,"Co-operative Play, Dice Rolling, Modular Board, Simultaneous Action Selection","Adventure, Exploration, Novel-based",Thematic Games,90180 minutes,14 and up,12 and up,"Robinson Crusoe: Adventure on the Cursed Island  Beach Card Mini Expansion, Robinson Crusoe: Adventure on the Cursed Island  Beast Cards, Robinson Crusoe: Adventure on the Cursed Island  Dreadful adventure on the King Kong Island, Robinson Crusoe: Adventure on the Cursed Island  Gamer character",Extensive use of text - massive conversion needed to be playable,"2013 Golden Geek Best Board Game Artwork/Presentation Nominee, 2013 Golden Geek Best Innovative Board Game Nominee, 2013 Golden Geek Best Thematic Board Game Nominee, 2013 Golden Geek Best Thematic Board Game Winner",14,Best with 3 players,10960,8.09,1.40,1375856
Le Havre,15,2008,Worker Placement,"City Building, Economic, Industry / Manufacturing, Nautical",Strategy Games,100200 minutes,12 and up,12 and up,"Le Havre Expansion: Essen Promo Cards, Le Havre: Le Grand Hameau, Le Havre: Le Grand Hameau  Rattletrap car, Le Havre: Le Grand Hameau  Tablet with App",Moderate in-game text - needs crib sheet or paste ups,"2008 Jogo do Ano Nominee, 2008 Meeples' Choice Award, 2009 Deutscher Spiele Preis Best Family/Adult Game 2nd Place, 2009 Golden Geek Best 2-Player Board Game Nominee",15,Best with 3 players,15976,7.99,1.44,1243889
Brass,16,2007,"Hand Management, Route/Network Building","Economic, Industry / Manufacturing, Transportation",Strategy Games,120180 minutes,13 and up,14 and up,Catalonia (fan expansion for Brass),No necessary in-game text,"2007 Jogo do Ano, 2007 Jogo do Ano Nominee, 2007 Meeples' Choice Award, 2008 Golden Geek Best Gamer's Board Game Nominee",34,Best with 4 players,8890,8.03,1.47,874178
Tzolk'in: The Mayan Calendar,17,2012,"Set Collection, Worker Placement","Ancient, Civilization, Economic, Farming",Strategy Games,90 minutes,13 and up,12 and up,"Tzolk'in: The Mayan Calendar  Mini Expansion 1, Tzolk'in: The Mayan Calendar  Mini Expansion 2, Tzolk'in: The Mayan Calendar  Tribes & Prophecies",No necessary in-game text,"2012 Jogo do Ano Nominee, 2012 Meeples' Choice Nominee, 2012 Meeples' Choice Winner, 2012 Swiss Gamers Award Winner",24,Best with 4 players,12509,7.98,1.26,759639
Dead of Winter: A Crossroads Game,18,2014,"Action Point Allowance System, Area Movement, Co-operative Play, Dice Rolling","Bluffing, Horror, Zombies",Thematic Games,45210 minutes,14 and up,12 and up,"Dead of Winter: Andrea Smith, Dead of Winter: Dice Tower Promos, Dead of Winter: Felicia Day, Dead of Winter: Kodiak Colby",Extensive use of text - massive conversion needed to be playable,"2014 Golden Geek Best Board Game Artwork & Presentation Nominee, 2014 Golden Geek Best Innovative Board Game Nominee, 2014 Golden Geek Best Innovative Board Game Winner, 2014 Golden Geek Best Thematic Board Game Nominee",25,Best with 4 players,10095,8.05,1.41,985628
7 Wonders,19,2010,"Card Drafting, Set Collection, Simultaneous Action Selection, Variable Player Powers","Ancient, Card Game, City Building, Civilization","Family Games, Strategy Games",30 minutes,10 and up,10 and up,"7 Wonders: Babel, 7 Wonders: Catan, 7 Wonders: Cities, 7 Wonders: Leaders",No necessary in-game text,"2011 Spiel des Jahres Kennerspiel des Jahres Winner, 2010 Meeples' Choice Award, 2010 Swiss Gamers Award Winner, 2010 Tric Trac d'Or",27,Best with 4 players,37545,7.87,1.27,1615806
Caylus,20,2005,Worker Placement,"City Building, Economic, Medieval",Strategy Games,60150 minutes,12 and up,12 and up,Caylus Expansion: The Jeweller,No necessary in-game text,"2005 Meeples' Choice Award, 2005 Tric Trac d'Or, 2005 Tric Trac Nominee, 2006 Deutscher Spiele Preis Best Family/Adult Game Winner",25,Best with 3 players,19328,7.90,1.49,1370678
Keyflower,21,2012,"Auction/Bidding, Memory, Modular Board, Pick-up and Deliver","City Building, Economic, Nautical, Renaissance",Strategy Games,90120 minutes,12 and up,12 and up,"Keyflower: Beekeeper, Keyflower: Emporium & Monument, Keyflower: Key Celeste, Keyflower: Pig Shelter",No necessary in-game text,"2012 Jogo do Ano Nominee, 2012 Jogo do Ano Winner, 2012 Meeples' Choice Nominee, 2012 Meeples' Choice Winner",26,Best with 4 players,7012,7.98,1.24,524147
Dominion: Intrigue,22,2009,"Card Drafting, Deck / Pool Building, Hand Management","Card Game, Medieval",Strategy Games,30 minutes,13 and up,10 and up,"Dominion: Adventures, Dominion: Alchemisten & Reiche Ernte  Mixbox, Dominion: Alchemy, Dominion: Black Market Promo Card",Moderate in-game text - needs crib sheet or paste ups,"2009 Fairplay  la carte Winner, 2009 Golden Geek Best Board Game Expansion Nominee, 2009 Golden Geek Best Card Game Nominee, 2009 Japan Boardgame Prize Voters' Selection Nominee",24,Best with 3 players,19479,7.85,1.35,744851
Dominant Species,23,2010,"Area Control / Area Influence, Card Drafting, Grid Movement, Modular Board","Animals, Environmental, Prehistoric",Strategy Games,120240 minutes,14 and up,14 and up,None,Moderate in-game text - needs crib sheet or paste ups,"2010 Jogo do Ano Nominee, 2011 Golden Geek Best Innovative Board Game Nominee, 2011 Golden Geek Best Strategy Board Game Nominee, 2011 Golden Geek Best Strategy Board Game Winner",26,Best with 4 players,10359,7.89,1.49,936026
Race for the Galaxy,24,2007,"Hand Management, Simultaneous Action Selection, Variable Phase Order, Variable Player Powers","Card Game, Civilization, Economic, Science Fiction",Strategy Games,3060 minutes,12 and up,12 and up,"Patronage (fan expansion to Race for the Galaxy), Race for the Galaxy: Alien Artifacts, Race for the Galaxy: Rebel vs Imperium, Race for the Galaxy: The Brink of War",Some necessary text - easily memorized or small crib sheet,"2007 Meeples' Choice Award, 2008 Fairplay  la carte Winner, 2008 Golden Geek Best 2-Player Board Game Nominee, 2008 Golden Geek Best Board Game Artwork/Presentation Nominee",24,"Best with 2, 4 players",28984,7.80,1.50,1923779
El Grande,25,1995,"Area Control / Area Influence, Area Movement, Auction/Bidding, Card Drafting",Renaissance,Strategy Games,60120 minutes,12 and up,12 and up,"The El Grande Expansions, El Grande: Grandissimo, El Grande: Grossinquisitor und Kolonien, El Grande: Knig & Intrigant",Moderate in-game text - needs crib sheet or paste ups,"1995 Meeples' Choice Award, 1996 Deutscher Spiele Preis Best Family/Adult Game Winner, 1996 Spiel des Jahres Winner, 1997 rets Spil Best Adult Game Winner",25,Best with 5 players,15994,7.83,1.34,953032
Eldritch Horror,26,2013,"Co-operative Play, Dice Rolling, Point to Point Movement, Variable Player Powers","Adventure, Fantasy, Fighting, Horror",Thematic Games,120240 minutes,14 and up,14 and up,"Eldritch Horror: Forsaken Lore, Eldritch Horror: Mountains of Madness, Eldritch Horror: Strange Remnants, Eldritch Horror: Under the Pyramids",Extensive use of text - massive conversion needed to be playable,"2013 Golden Geek Best Board Game Artwork/Presentation Nominee, 2013 Golden Geek Best Thematic Board Game Nominee",18,Best with 4 players,8842,7.97,1.44,962495
