Assessing games mechanics with a min rating of: 0.1 and a max rating of: 7.0,,
Printing popularity of game mechanics: (only mechanics with 1000+) are counted,,
Hand Management,588515,
Dice Rolling,411088,
Set Collection,291785,
Card Drafting,198273,
Tile Placement,175074,
Area Control / Area Influence,171459,
Simultaneous Action Selection,148794,
Modular Board,146497,
Partnerships,140679,
Auction/Bidding,126539,
Variable Player Powers,121571,
Player Elimination,115100,
Area Movement,101114,
Route/Network Building,97459,
Take That,92674,
Grid Movement,90696,
Admin: Better Description Needed!,82038,
Point to Point Movement,81701,
Memory,77206,
Press Your Luck,73684,
Area Enclosure,68559,
Action Point Allowance System,67287,
Roll / Spin and Move,59223,
Trading,57214,
Pick-up and Deliver,54428,
Pattern Building,54140,
Co-operative Play,50164,
Betting/Wagering,44093,
Role Playing,40925,
Pattern Recognition,40405,
Paper-and-Pencil,39756,
Carcassonne,33119,
Crowdfunding: Kickstarter,32791,
Secret Unit Deployment,32551,
Voting,31403,
Action / Movement Programming,29649,
Yahtzee,28138,
Clue,27707,
Sorry,26864,
Family Game Night Book and Game Set: Scrabble,26864,
Carcassonne: 10 Year Special Edition,25595,
Hex-and-Counter,25417,
Scrabble and Yahtzee,23287,
Commodity Speculation,21672,
Trick-taking,20190,
Deck / Pool Building,20179,
Carcassonne Big Box 4,19554,
Storytelling,18813,
Campaign / Battle Card Driven,18744,
Worker Placement,18233,
Simulation,18040,
Carcassonne: Wheel of Fortune,17146,
Stock Holding,16893,
Solitaire Games,16664,
Game Spice: Monopoly Expansion,16147,
Beyond Boardwalk and Park Place,16147,
Bance!,16147,
Entrepreneur's Accessory to Monopoly,16147,
3D Games,15214,
Ancient Rome,15092,
Acting,14861,
Munchkin Promotional Bookmarks,14253,
Variable Phase Order,13692,
Munchkin Sparkly Good Fairy Shot Glass,13171,
Carcassonne Big Box,11351,
Munchkin Tavern Pint Glass,11242,
Fantasy Flight Silver Line Games,10780,
Animals: Dragons,10657,
UNO: England Rugby,10527,
UNO: Angry Birds,10527,
UNO Dare!,10527,
UNO: Disney Princess,10527,
Chit-Pull System,10342,
Tolkien Games,10272,
Promotional Board Games,10194,
Kosmos two-player series,9806,
Magazine: Strategy & Tactics,9745,
Catan,9668,
CCGs (Collectible Card Games),9642,
Country: Greece,9267,
A Game For Good Christians,9006,
Food / Cooking,8958,
Rummy Games,8914,
+6 Bag O' Munchkin Babes,8768,
Tube Games,8747,
Verkade spel,8559,
Hello Kitty,8366,
+10 Bag o' Munchkin d6,8314,
Miscellaneous Game Compilation,8086,
+6 Bag o' Munchkin Level Counters,8000,
Backgammon: Zombie Rush,7799,
Whamgammon,7799,
Rock-Paper-Scissors,7674,
Combinatorial,7665,
Line Drawing,7632,
Epic Munchkin,7628,
+6 Bag O' Munchkins,7297,
Asian Theme,7183,
Risk,7128,
BANG!,7086,
Mensa Select,7005,
The Book of Classic Board Games,6922,
Zombies!!!,6815,
The 15 Greatest Board Games in the World,6748,
Robots,6544,
Country: Italy,6505,
Polyominoes,6463,
Alea Medium Box,6431,
Animals: Dinosaurs,6420,
Card Games: Outplay Games,6302,
Star Wars,6264,
Mexican Hold'em Poker,6067,
Conquest of the Pacific,6039,
Jenga,5987,
Characters: Tarzan,5986,
Galaxy: The Dark Ages,5921,
Carcassonne Big Box 5,5900,
The Checkered Game of Life,5883,
Country: Japan,5843,
Animals: Pigs,5816,
