name,address,zipCode,contactName,contactPhone,website,profileUrl,jobCostMin,jobCostMax,licenseNumber,averageRating,followers,following,badgeCount,projectCount,reviewCount,commentCount
JOHNSTONE CONSTRUCTION COMPANY,%!s(bool=false),92591,jayson johnstone,(909) 747-7054,http://www.johnstoneconstructionco.com/,http://www.houzz.com/pro/jjohnstonellcj/johnstone-construction-company,null,null,925910,5,null,null,null,6,1,null
Graham Hallissey Construction,360 paseo camarillo,93010,Graham Hallissey,(805) 445-1378,http://grahamhallissey.wix.com/ghconstruction,http://www.houzz.com/pro/ghallissey/graham-hallissey-construction,null,null,981829,4.9,17,2,3,22,11,null
360 Remodeling Inc.,%!s(bool=false),91505,Patrick Havani,(877) 360-7366,http://www.360remodeling.com,http://www.houzz.com/pro/webuser-184367/360-remodeling-inc,null,null,874255,5,3,0,null,2,1,null
Mponce restoration,%!s(bool=false),91016,Michael ponce,(323) 394-9429,null,http://www.houzz.com/pro/mprestoration/mponce-restoration,null,null,null,5,0,0,null,0,1,null
Presto Logistics,13733 Barbara Ln,91342,John Smith,(818) 217-8383,http://www.prestomoving.com/,http://www.houzz.com/pro/prestologistics/presto-logistics,50,100,null,5,0,0,null,2,1,null
H&A my design inc,6520 platt Ave suite 227,91307,golan azran,(818) 524-0526,http://www.hnamydesign.com,http://www.houzz.com/pro/infohnamydesign/handa-my-design-inc,null,null,999603,5,0,0,null,0,2,null
Bakkenson Building Group,27305 Country Glen Rd,91301,Dennis Bakkenson,(818) 519-7554,http://Goinggreenbuilding.com,http://www.houzz.com/pro/dennisbakk/bakkenson-building-group,null,null,668663,5,8,0,null,2,1,null
Mega Group Builders,5900 Sepulveda Blvd #550,91411,Mega Group Builders,(877) 231-7389,http://megagroupbuilders.com,http://www.houzz.com/pro/megagroupbuilders/mega-group-builders,null,null,461004,5,36,58,3,9,11,2
Advanced Builders and Contractors,19528 Ventura Blvd #120,91356,Nick Cohen,(888) 930-1030,http://www.ABCLosAngeles.com,http://www.houzz.com/pro/abclosangeles/advanced-builders-and-contractors,null,null,null,5,215,1028,6,41,39,11
"LOTUS BUILDERS, INC",3239 Deronda Drive,90068,CURT KAPLAN,(323) 573-7212,http://www.lotusbuilders.info,http://www.houzz.com/pro/curtk68/lotus-builders-inc,null,null,null,5,11,0,1,9,1,null
"Future Home Builders, Inc.",20929 Ventura Blvd. #142,91364,Ofir Grushkovski,(818) 591-7500,http://www.futurehb.com,http://www.houzz.com/pro/futurehb/future-home-builders-inc,null,null,870227,5,92,28,4,16,4,12
"Cornell Custom Homes, Inc",5670 Schaefer Ave Ste H,91710,Toby Cornell,(909) 628-3333,http://cornellcustomhomes.com,http://www.houzz.com/pro/cornellcustombuilder/cornell-custom-homes-inc,null,null,670422,5,104,23,1,2,5,7
Ariel Builders,%!s(bool=false),91607,Mary Frances,(866) 779-0701,http://www.arielbuildersinc.com,http://www.houzz.com/pro/abuilders1234/ariel-builders,null,null,866705,5,4,0,null,5,1,null
B&R Creative Builders,6440 Maryland Dr.,90048,Tomer Benyehuda,(323) 964-9588,http://www.bnrcreativebuilders.com,http://www.houzz.com/pro/bnrcreativebuilders/bandr-creative-builders,null,null,B969864,5,402,null,8,33,44,37
Sawdust Construction,%!s(bool=false),90507,Brandon Yung,(310) 480-3350,http://sawdustconstruction.com,http://www.houzz.com/pro/sawdustbuilds4u/sawdust-construction,null,null,774931,5,6,1,null,7,1,1
Schneider Custom Homes,106 Hill Street,90254,Carl Schneider,(310) 923-6565,http://www.BuildSCH.com,http://www.houzz.com/pro/schneidercustomhome/schneider-custom-homes,null,null,923800,5,143,62,4,5,2,14
Rhino Construction,"5273 N. Commerce Drive, Unit #1",93021,Scott Reinhardt,(805) 530-0970,http://www.rhinopropertiesinc.com,http://www.houzz.com/pro/constructionbyrhino/rhino-construction,null,null,"CA ""B"" 632205",5,12,1,3,7,11,1
Behr Construction Company,%!s(bool=false),%!s(bool=false),:,(818) 952-2516,http://behrconstruction.com,http://www.houzz.com/pro/behrbuilding/behr-construction-company,null,null,null,5,55,0,3,38,11,6
"Cuss Construction, Inc.",%!s(bool=false),91214,Jim Sierra,(818) 974-0641,http://www.cussconstructioninc.com,http://www.houzz.com/pro/cussnsam35/cuss-construction-inc,null,null,608642,5,70,133,4,16,9,null
Novel Remodeling,1015 Gayley Avenue,90024,Harry Griffen,(855) 456-6835,http://novelremodeling.houzz.com,http://www.houzz.com/pro/novelremodeling/novel-remodeling,null,null,908461,4.3,56,54,3,8,6,23
