name,address,zipCode,contactName,contactPhone,website,profileUrl,jobCostMin,jobCostMax,licenseNumber,averageRating,followers,following,badgeCount,projectCount,reviewCount,commentCount
Catersolar Inc,%!s(bool=false),%!s(bool=false),:,(818) 638-5971,http://catersolar.com,http://www.houzz.com/pro/catersolar/catersolar-inc,null,null,null,null,0,0,null,0,null,null
RSGBCO,918 Aileron Ave.,91744,Richard Schneider,(626) 217-3454,null,http://www.houzz.com/pro/rsgbco/rsgbco,null,null,null,null,1,0,null,0,null,null
RCC CONSTRUCTION,10488 Eastborne Ave.,90024,David Kohan,(310) 922-6623,null,http://www.houzz.com/pro/rccconstruction/rcc-construction,null,null,null,null,1,0,null,0,null,null
JRP Design & Remodel,3130 E Thousand Oaks Blvd Ste 104,91362,Justin Pecikonis,(805) 446-6500,http://jrpdesignandremodel.com,http://www.houzz.com/pro/justin2163/jrp-design-and-remodel,null,null,931709,null,0,0,null,0,null,null
Macro Era Construction,%!s(bool=false),91745,Roman Rangel,(323) 246-3484,http://www.macroeraconst.com,http://www.houzz.com/pro/roman-rangel/macro-era-construction,null,null,906483,null,21,9,null,3,null,null
"HomeSpace Construction, Inc",5235 Mission Oaks Blvd,93012,Raquel Tapie,(805) 407-3365,http://www.homespaceinc.com,http://www.houzz.com/pro/raqueltapie/homespace-construction-inc,null,null,null,null,35,3,1,2,null,null
ontime home improvements,%!s(bool=false),%!s(bool=false),Gavin Moniot,%!s(bool=false),null,http://www.houzz.com/pro/sp1355/ontime-home-improvements,null,null,B816910,null,1,1,null,0,null,null
Appease Builders,%!s(bool=false),90802,Tony Croucier,(800) 646-0566,http://www.appeasebuilders.com,http://www.houzz.com/pro/appeasebuilders/appease-builders,75,15000,null,null,0,0,null,2,null,null
tom reilly construction,%!s(bool=false),92879,Tom Reilly,(818) 516-0481,null,http://www.houzz.com/pro/tom-reilly8666915/tom-reilly-construction,null,null,612216,null,2,0,null,0,null,null
Air Conditioning Beverly Hills,%!s(bool=false),90211,Sue Wade,(310) 409-4662,http://airconditioningbeverlyhills.org,http://www.houzz.com/pro/airconditioningbeverlyhills/air-conditioning-beverly-hills,null,null,null,null,2,0,null,3,null,null
David Kwak,1159 IOWA AVE #P,92507,David Kwak,(951) 683-8233,http://www.dreamnspace.com,http://www.houzz.com/pro/david-kwak/david-kwak,null,null,976967,null,3,1,null,0,null,null
William Morris Development,%!s(bool=false),92253,Bill Morris,(760) 668-4260,http://wmdevelopmentlaquinta.com,http://www.houzz.com/pro/williammorrisdevelopment/william-morris-development,null,null,945496,null,0,3,null,4,null,null
Shannon Harr,2388 E Via Escuela,92262,Michale Harr,(760) 327-4277,http://www.harrshomeimprovement.com,http://www.houzz.com/pro/mrsharr10/shannon-harr,null,null,null,null,1,0,null,0,null,null
"Plumb Crazy, Inc.",%!s(bool=false),91017,Allison Allain,(626) 473-2020,null,http://www.houzz.com/pro/plumbcrazycontracting/plumb-crazy-inc,null,null,B 932834,null,6,3,null,12,null,3
Clearlake Custom Homes Inc.,%!s(bool=false),91361,Vince Curcio,(805) 390-7773,null,http://www.houzz.com/pro/vincecurcio/clearlake-custom-homes-inc,null,null,815242,null,1,0,null,0,null,null
imloud74,%!s(bool=false),%!s(bool=false),:,(951) 258-9826,null,http://www.houzz.com/pro/imloud74/imloud74,null,null,null,null,0,0,null,0,null,null
The Korda Group,%!s(bool=false),%!s(bool=false),Erika Korda,%!s(bool=false),http://Korda/RPK,http://www.houzz.com/pro/msbldr5/the-korda-group,null,null,null,null,1,0,null,0,null,null
Ender Enterprises,200 S Kenmore Ave,90005,Joshua Nordine,(763) 381-4526,http://enderent.com,http://www.houzz.com/pro/joshua-nordine/ender-enterprises,null,null,null,null,1,0,null,0,null,null
Locksmith Long Beach,%!s(bool=false),90803,Nancy Selby,(562) 342-1744,http://www.locksmith-longbeach.org,http://www.houzz.com/pro/locksmithlongbeach/locksmith-long-beach,null,null,null,null,3,0,null,1,null,null
"Dennis La Charite Construction, Inc.",%!s(bool=false),%!s(bool=false),:,(310) 325-9905,null,http://www.houzz.com/pro/dlci/dennis-la-charite-construction-inc,null,null,null,null,2,0,null,0,null,null
babu Smith,%!s(bool=false),91604,Pini Elmishli,(818) 415-1212,null,http://www.houzz.com/pro/pini-elmishli/babu-smith,null,null,null,null,1,7,null,0,null,null
"HSE Contractors - Los Angeles, CA",%!s(bool=false),90015,Hany Elbana,(619) 564-4475,http://www.hsecontractors.com,http://www.houzz.com/pro/hsescheduling/hse-contractors-los-angeles-ca,null,null,null,null,1,0,null,0,null,null
heaven at hand,%!s(bool=false),%!s(bool=false),warren sledd,(323) 432-8367,http://heavenathand.com,http://www.houzz.com/pro/sledd13/heaven-at-hand,null,null,CA-B651033,null,1,0,null,0,null,null
Westlake Smile Design Invisalign Dentists,911 Hampshire Rd #17,91361,Samuel Reynoso,(805) 225-7501,http://dentist4invisalign.com,http://www.houzz.com/pro/invisaligndentists2014/westlake-smile-design-invisalign-dentists,null,null,null,null,0,0,null,0,null,null
Accurate,%!s(bool=false),90505,Russ Simoni,(310) 259-7090,http://Accurateconstruction.com,http://www.houzz.com/pro/rsimoni/accurate,null,null,733551,null,1,0,null,0,null,null
BuildingWerks,30334 Olympic St.,91384,Alex Cruz,(310) 650-4425,null,http://www.houzz.com/pro/alex-cruz4586662/buildingwerks,null,null,null,null,0,0,null,0,null,null
Kagey Construction,%!s(bool=false),93004,Ken Tucker,(805) 415-7772,null,http://www.houzz.com/pro/kagey805/kagey-construction,null,null,CL842764,null,1,0,null,0,null,null
Russ Builders,40335 Winchester Rd. Ste E,92591,Russ Levine General Contractor,(951) 834-1737,http://www.russbuilders.net,http://www.houzz.com/pro/russbuilders/russ-builders,null,null,946036,null,1,0,null,0,null,null
"Creative Construction & Remodeling, Inc.",4570 Van Nuys Blvd.,91403,S. Trabelsi,(310) 880-4368,http://www.buildwithcreative.com,http://www.houzz.com/pro/creativecr/creative-construction-and-remodeling-inc,null,null,888264,null,6,1,null,10,null,null
Water Damage Thousand Oaks,%!s(bool=false),91362,Ardell Tober,(805) 539-0225,http://www.waterdamagethousandoaks.org/,http://www.houzz.com/pro/waterdamagethousandoaks/water-damage-thousand-oaks,null,null,null,null,0,0,null,0,null,null
All Out Moving,"312 5th St, Suite 3459",90012,Allout Moving,(877) 994-6688,http://www.yelp.com/biz/all-out-moving-los-angeles-2,http://www.houzz.com/pro/allmoving/all-out-moving,null,null,null,null,1,0,null,0,null,null
L.A. Green Designs,PO Box 411603,90041,Jose Martinez,(626) 319-4102,http://www.lagreendesigns.com,http://www.houzz.com/pro/josems40/la-green-designs,null,null,988980,null,0,0,null,0,null,null
Hutch Remodeling Inc.,%!s(bool=false),90046,Christopher Hutchinson,(323) 930-1900,http://remodelingmelrose.com,http://www.houzz.com/pro/design9231/hutch-remodeling-inc,null,null,991675,null,0,0,null,2,null,null
Lema construction Inc,1572.5 S. Bundy Dr,90025,Archibald Lema,(310) 717-7917,null,http://www.houzz.com/pro/archibald-lema/lema-construction-inc,null,null,null,null,1,0,null,0,null,null
Christopher,%!s(bool=false),%!s(bool=false),Christopher,(626) 372-0180,http://knowlandconstructionservices.com,http://www.houzz.com/pro/christopherknowland/christopher,null,null,null,null,6,0,null,0,null,null
AMD Construction Inc.,1881 Obispo Ave.,90755,Albert Gutierrez,(562) 824-5555,http://amd-construction.com,http://www.houzz.com/pro/amdconstructioninc/amd-construction-inc,null,null,null,null,0,0,null,0,null,null
AMERICAN CRAFTSMEN CORP,273 n hill ave,91106,TONY STEVENS,(626) 793-3329,http://americancraftsmen.com,http://www.houzz.com/pro/3keymen/american-craftsmen-corp,null,null,null,null,1,0,null,0,null,null
Contractors Downey,%!s(bool=false),90242,Adam Mcneel,(562) 261-8605,http://www.contractorsdowney.org/index.html,http://www.houzz.com/pro/contractorsdowney/contractors-downey,null,null,null,null,1,0,null,0,null,null
Exhibit Options,%!s(bool=false),90703,Ex Options,(562) 949-1555,http://www.exoptions.com,http://www.houzz.com/pro/exoptions/exhibit-options,null,null,null,null,0,0,null,2,null,null
"Majestic Asset Management, Inc.",%!s(bool=false),%!s(bool=false),:,%!s(bool=false),null,http://www.houzz.com/pro/dfradin/majestic-asset-management-inc,null,null,null,null,1,0,null,0,null,null
Ventura Builders LLC,%!s(bool=false),91360,Ventura Builders,(805) 494-0369,http://www.venturabuilders.com,http://www.houzz.com/pro/venturabuilders/ventura-builders-llc,null,null,825935,null,83,78,null,9,null,1
Andersen Construction,17455 Lakewood Blvd,90706,Scott Andersen,(562) 531-9336,http://www.andersenbuilds.com,http://www.houzz.com/pro/sc0tt4nd3r/andersen-construction,null,null,null,null,0,0,null,2,null,null
"HJ and WJV, LLC",%!s(bool=false),90803,Jeff,(424) 215-1440,null,http://www.houzz.com/pro/buisiness1broker/hj-and-wjv-llc,null,null,BRE #01833898,null,0,0,null,0,null,null
Locksmith Santa Monica,521 Montana Ave,90403,Bryan Reaves,(310) 359-6355,http://www.locksmithsantamonica-ca.com,http://www.houzz.com/pro/locksmithsantamonica1/locksmith-santa-monica,null,null,null,null,0,0,null,0,null,null
J Handy Construction,1823 19 th street unit 03. Santa Monica ca 90404,90404,Jason Handy,(310) 717-0342,null,http://www.houzz.com/pro/handy1969/j-handy-construction,null,null,742256,null,0,0,null,0,null,null
Riedell Contruction,%!s(bool=false),91362,Robert Riedell,(805) 341-0428,null,http://www.houzz.com/pro/robert-riedell/riedell-contruction,null,null,null,null,2,20,null,0,null,null
Huddledir,33322 Vermont Road,92592,Hudd Ledir,(951) 294-1199,http://huddledir.com,http://www.houzz.com/pro/huddledir/huddledir,null,null,null,null,0,0,null,0,null,null
"Maricich Construction Company, Inc.",4125 Maritime Road,90275,Ronald Maricich,(310) 377-7247,http://www.maricichconstructioncompany.com,http://www.houzz.com/pro/maricichconstructioncompany/maricich-construction-company-inc,null,null,B-1 478691,null,0,0,null,0,null,null
Timothy J. Droney General Contractor,1129 Maricopa Hwy #221,93023,Tim Droney,(805) 640-0340,http://droney.com,http://www.houzz.com/pro/tdroney/timothy-j-droney-general-contractor,null,null,467506,null,22,0,null,11,null,5
kasa construction,1275 Aves Lane,92028,joseph kasa,(760) 728-9338,null,http://www.houzz.com/pro/jenniferkasa/kasa-construction,null,null,609250,null,0,0,null,0,null,null
Pacific Coast Construction,%!s(bool=false),91367,Mark Spillman,(818) 917-5469,null,http://www.houzz.com/pro/mark-spillman/pacific-coast-construction,null,null,null,null,19,27,null,0,null,null
ECG Construction,%!s(bool=false),90254,Joseph Bilstad,(310) 626-7128,null,http://www.houzz.com/pro/joey2275/ecg-construction,null,null,987820,null,0,0,null,5,null,null
Alain Hirsch Construction Co,%!s(bool=false),90804,Xiaoyu Liu,(562) 494-4800,null,http://www.houzz.com/pro/xiaoyu-liu/alain-hirsch-construction-co,null,null,null,null,0,3,null,0,null,null
Keystone Handiworks,%!s(bool=false),90255,Jose Cortez,(310) 245-5996,null,http://www.houzz.com/pro/joseacortezarre/keystone-handiworks,null,null,null,null,0,1,null,0,null,null
EK DESIGN CONSTRUCTION CO.,1119 Queen Anne Place,90019,Sebastian Kwak,(310) 623-0040,http://pconstructionus.com,http://www.houzz.com/pro/ekdesignbuilder/ek-design-construction-co,null,null,931797,null,0,0,null,0,null,null
KAVIN CONSTRUCTION COMPANY INC,%!s(bool=false),90232,Mark Leslie,(310) 945-7875,http://kavinconstructioninc.com/,http://www.houzz.com/pro/elleshaylee10/kavin-construction-company-inc,null,null,null,null,0,0,null,0,null,null
Soderson construction management,%!s(bool=false),92240,Vic soderlind,(760) 333-5797,http://soderson@roadrunner.com,http://www.houzz.com/pro/soderson/soderson-construction-management,null,null,421915,null,0,0,null,0,null,null
RW General Contractor,%!s(bool=false),91741,Ryan & Sarah Woodland,(626) 290-3745,http://RWGeneralContractor.com,http://www.houzz.com/pro/rwgeneralcontractor/rw-general-contractor,null,null,950619,null,0,0,null,2,null,null
AAAforla,7105 gerald ave,91406,LD eldar,(800) 452-1288,http://aaaforla.com,http://www.houzz.com/pro/aaaforlarmodeling/aaaforla,null,null,859135,null,5,5,null,4,null,null
Baldwin Builders,%!s(bool=false),91773,Anthony Ferro,(909) 599-0033,http://baldwinbuilders.net,http://www.houzz.com/pro/anthony9345/baldwin-builders,null,null,"CA 992380,  DOSH 1016",null,0,0,null,2,null,null
Guzmanshandyman,%!s(bool=false),%!s(bool=false),:,(760) 596-7056,null,http://www.houzz.com/pro/eliguzman0311/guzmanshandyman,null,null,null,null,0,0,null,0,null,null
JDC Construction + Development Group,%!s(bool=false),91311,John Donaldson,(818) 772-7464,null,http://www.houzz.com/pro/smokeysevero/jdc-construction-development-group,null,null,null,null,0,0,null,0,null,null
Don Vanasse Custom Builders Inc.,1235 Flynn Rd. #412,93012,Don Vanasse,(805) 383-9191,http://dvcb-inc.com,http://www.houzz.com/pro/dvcb/don-vanasse-custom-builders-inc,null,null,657528,null,0,0,null,0,null,null
Locksmith Reseda,19540 Sherman Way #803,91335,Willie Harrington,(818) 661-1105,http://www.locksmith-reseda.com,http://www.houzz.com/pro/locksmithreseda/locksmith-reseda,null,null,null,null,1,0,null,0,null,null
johnson handyman,3st.50 eva,93003,eric johnson,(805) 665-9035,null,http://www.houzz.com/pro/homni/johnson-handyman,null,null,null,null,1,0,null,0,null,null
The Bristol Companies,25020 Ave Stanford #110,91355,Bristol Restoration,(661) 294-1812,http://www.bristolservice.com,http://www.houzz.com/pro/bristol-restoration/the-bristol-companies,null,null,878868,null,29,13,null,0,null,null
CA Home Contractors,%!s(bool=false),90011,Arnold Pascual,(877) 899-7237,http://www.cahomecontractors.com/,http://www.houzz.com/pro/cahomecontractors/ca-home-contractors,null,null,null,null,0,0,null,2,null,null
zen craftsmen,%!s(bool=false),92562,Greg Corbitt,(951) 667-5590,http://zencraftsmen.com,http://www.houzz.com/pro/zencraftsman/zen-craftsmen,null,null,973991,null,0,0,null,0,null,null
Tyler Development Corporation,%!s(bool=false),90049,Tyler Udall,(818) 222-5925,http://www.tylerdev.com,http://www.houzz.com/pro/ttu5412/tyler-development-corporation,null,null,null,null,1,0,1,0,1,null
student of Contractor Construccion Management,%!s(bool=false),93534,Julio ContrerasTorres,(661) 526-8097,null,http://www.houzz.com/pro/julio-contrerastorres/student-of-contractor-construccion-management,null,null,null,null,0,3,null,0,null,null
STONE CONSTRUCTION COMPANY,%!s(bool=false),90035,John Stone,(310) 288-1753,http://STONECONSTRUCTIONCOMPANY.COM,http://www.houzz.com/pro/john-stone15/stone-construction-company,null,null,null,null,1,14,null,0,null,null
Conti Construction,183 Clearview street,91360,Joseph Conti,(805) 341-3430,http://www.facebook.com/conticonstruction,http://www.houzz.com/pro/joseph-conti/conti-construction,null,null,B215738,null,9,0,null,2,null,null
KAM Coastal Development,%!s(bool=false),91320,Keith Mathias,%!s(bool=false),http://kamcoastal.com,http://www.houzz.com/pro/kamathias/kam-coastal-development,null,null,null,null,1,0,null,0,null,null
Premier Construction,%!s(bool=false),92506,Travis Hayward,(951) 545-1957,http://www.premierconstructioncorp.com,http://www.houzz.com/pro/travishayward/premier-construction,null,null,949376,null,0,0,null,0,null,null
GF construction,%!s(bool=false),90703,steve,(213) 713-2230,null,http://www.houzz.com/pro/skang0216/gf-construction,null,null,null,null,0,0,null,0,null,null
Zetterberg Construction,89 Upper Lake Road,91361,Bjorn Zetterberg,(805) 341-4673,null,http://www.houzz.com/pro/kathyzetterberg/zetterberg-construction,100000,5000000,null,null,4,0,null,2,null,null
de los santos brothers inc.,%!s(bool=false),91304,leo de los santos,(818) 713-1061,null,http://www.houzz.com/pro/leticia-fletcher/de-los-santos-brothers-inc,null,null,null,null,0,0,null,0,null,null
